Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.00014108520103971796,-0.09602260176899988
5.787037037037037e-05,0.2,0.0004661374066906106,0.5361615686257248
2.3148148148148147e-05,0.5,0.0034342450883561816,1.0478836661848416
1.1574074074074073e-05,1.0,0.009287581194368436,-1.6386103236593679
5.787037037037037e-06,2.0,0.03620522451786476,0.5205561375061197
1.6534391534391535e-06,7.0,0.09517950032188935,1.6484029863731218
8.267195767195768e-07,14.0,0.11027486312933232,-2.705100279071113
3.8580246913580245e-07,30.0,0.07513019011492247,-2.434474166721138
1.286008230452675e-07,90.0,0.7628971619401187,1.1328331446024809
3.1709791983764586e-08,365.0,,
