  , room2 , room2 , room2 , wall1_IM , wall1_IM , wall1_IM , wall1_IM , wall1_IM , wall1_IM , room1 , room1 , room1 , opening1 , opening1 , Heat source , Moisture source , 
  , temp , rh , ah , temp , rh , ah , Hw , Jwv , Jwl , temp , rh , ah , Hv , Jv , Hin , Jin , 
2022/04/01 00:00,25.0,0.5,0.009881917493743442,20.0,0.5000000000000001,0.00726237937927264,-4650.0,-0.0011563706210939923,-0.0,1.0,0.8599999999999999,0.0034882998044668745,-41.692748983684396,-7.21338556613695e-5,0.0,0.0,
2022/04/01 00:10,19.85780501636407,0.49414902228000934,0.00711272691597954,14.05560097673606,0.4483867299867392,0.004447814882855048,228.3897930482118,5.14597185971448e-5,-0.0,0.8949999999999818,0.8673069658695898,0.003491429905517115,-23.614459698740575,-4.074568952166301e-5,0.0,0.0,
2022/04/01 00:20,19.647343018063566,0.491381104887935,0.006979624516065261,12.666005486092217,0.4288211389618886,0.003881559770258069,236.67374177970945,3.553647027275286e-5,-0.0,0.7783333333333076,0.8755045289078126,0.003494907832315423,-22.72382007114902,-3.9137473910341025e-5,0.0,0.0,
2022/04/01 00:30,19.455844435367567,0.48710282595320487,0.006835418080456746,11.802891540986195,0.4210644129599016,0.0035992322607427346,236.02038210824676,3.435167729699826e-5,-0.0,0.6616666666666902,0.8837858270180456,0.003498385797790655,-21.760770830103866,-3.7387570528386056e-5,0.0,0.0,
2022/04/01 00:40,19.272943372185296,0.48319055790215254,0.00670233758830741,11.159312265013853,0.41993008630445633,0.0034389012601644736,235.37070411602033,3.33999040499673e-5,-0.0,0.5450000000000159,0.8921517812660659,0.003501863801943455,-20.87027355850978,-3.576742996764047e-5,0.0,0.0,
2022/04/01 00:50,19.096773049800788,0.4796287494839806,0.006578979440546695,10.635274527659647,0.4227241563763919,0.003342668521624616,234.59970712488598,3.248309520331598e-5,-0.0,0.42833333333334167,0.900603323570117,0.0035053418447744686,-20.043175393843285,-3.426097544485435e-5,0.0,0.0,
2022/04/01 01:00,18.925183759846448,0.4763789599974783,0.006463602075705205,10.186531788868479,0.42788091647740867,0.003283245292657662,233.6664498909204,3.158532761596261e-5,-0.0,0.3116666666666674,0.9091413968371681,0.0035088199262843407,-19.268119622462564,-3.2848024636767596e-5,0.0,0.0,
2022/04/01 01:10,18.75562842411597,0.4733697102877477,0.006353956348297918,9.780236421506515,0.43417360269320526,0.003241838736995438,232.79899898712247,3.087459087242566e-5,-0.0,0.18000000000000682,0.9130266739503792,0.00349023427220083,-18.674317339617573,-3.1784918959292017e-5,0.0,0.0,
2022/04/01 01:20,18.58642946450749,0.4705610618840334,0.006248677543433151,9.406416766479538,0.44081590545334753,0.003209596210567825,231.85803028496537,3.021669597792732e-5,-0.0,0.04666666666668107,0.9163793888559703,0.003469198433827856,-18.12496937634114,-3.080472648988499e-5,0.0,0.0,
2022/04/01 01:30,18.41650423231721,0.4679337099021667,0.006146975255264145,9.060328826671253,0.44757431677392107,0.0031835246170097576,230.8043020966534,2.9556480650673308e-5,-0.0,-0.08666666666664469,0.9197207327496735,0.003448164010318265,-17.598934634234865,-2.986684909022924e-5,0.0,0.0,
2022/04/01 01:40,18.24502661481307,0.4654650303292964,0.00604815256914017,8.736596740097298,0.45430404596965973,0.0031613411669279014,229.66431007501004,2.8889246946739303e-5,-0.0,-0.22000000000002728,0.9230500982550338,0.003427131001529318,-17.091668537282658,-2.896311122892001e-5,0.0,0.0,
2022/04/01 01:50,18.071458038800245,0.4631342506421221,0.0059516778343826375,8.430980330623527,0.46092065431328266,0.0031415463090305458,228.45964910709142,2.8213200531292203e-5,-0.0,-0.35333333333335304,0.926366864958547,0.003406099407318293,-16.59970419499541,-2.80872393193211e-5,0.0,0.0,
2022/04/01 02:00,17.895473545638765,0.4609229335039397,0.005857152773407397,8.140169659846777,0.46737792140084783,0.003123160149094263,227.206693908081,2.7528492362552077e-5,-0.0,-0.4866666666666788,0.9296703991660579,0.0033850692275424893,-16.120444442166445,-2.7234504237567306e-5,0.0,0.0,
2022/04/01 02:10,17.716925573038736,0.4587804764180688,0.00576385362615401,7.8589296328308365,0.4734522631021482,0.0031036556732273735,225.8146270670142,2.6960206648895654e-5,-0.0,-0.6050000000000182,0.9272639687764209,0.0033470746337508476,-15.759803725566144,-2.661846274430822e-5,0.0,0.0,
2022/04/01 02:20,17.53557020907664,0.45668832251542935,0.00567145571523343,7.586767151258925,0.47895595966843413,0.0030818614936244915,224.36827587930398,2.6438842620453982e-5,-0.0,-0.7216666666666924,0.9241171606481546,0.0033071998501346413,-15.417300675029765,-2.6037754185229386e-5,0.0,0.0,
2022/04/01 02:30,17.351407311226126,0.45464653825034224,0.005579967321275355,7.323398250250079,0.4839611656167264,0.0030583758296865316,222.89811089288608,2.5916685765354408e-5,-0.0,-0.8383333333333098,0.920856123528349,0.0032673301513650877,-15.080695421799192,-2.5467774748653034e-5,0.0,0.0,
2022/04/01 02:40,17.16450349691297,0.45264894955827156,0.005489343051751881,7.0677787551690585,0.4885239310893987,0.0030334881044212264,221.40968644145573,2.5394309025452096e-5,-0.0,-0.9549999999999841,0.9174789303974918,0.003227465536469618,-14.74969196776783,-2.490794597839363e-5,0.0,0.0,
2022/04/01 02:50,16.97495903858254,0.4506903155406486,0.005399562021042285,6.818930987095541,0.4926903509428048,0.0030074074768546466,219.9075607879104,2.487336273651011e-5,-0.0,-1.0716666666666583,0.9139836252989451,0.003187606004475908,-14.424154124249526,-2.4357980235025024e-5,0.0,0.0,
2022/04/01 03:00,16.782895835823524,0.44876645001067067,0.005310623702437266,6.576013709937854,0.4964990393345959,0.0029803013229383877,218.3953532373863,2.4355592287917116e-5,-0.0,-1.1883333333333326,0.9103682229113065,0.0031477515544118856,-14.10407846291173,-2.381783433313274e-5,0.0,0.0,
2022/04/01 03:10,16.589506048881447,0.4469109125441001,0.005223330365223174,6.353622475290422,0.5002222181124082,0.0029568659367470644,216.33750323682136,2.365053094791048e-5,-0.0,-1.259999999999991,0.9100441567964775,0.00313003765501351,-13.650351296813824,-2.3016111290198463e-5,0.0,0.0,
2022/04/01 03:20,16.394836482945664,0.4451304509473644,0.005137749613825546,6.146344797137999,0.5040632157981928,0.002937140888631927,214.12866654354676,2.2910034634011658e-5,-0.0,-1.3266666666666538,0.9100752149564676,0.0031147842134742016,-13.191747260863849,-2.220307968965199e-5,0.0,0.0,
2022/04/01 03:30,16.19877884938944,0.4434154436614306,0.005053705690438071,5.947066663218777,0.5079526268230571,0.002919210499800083,211.92561360242283,2.2177331840325046e-5,-0.0,-1.3933333333333167,0.9100871183521295,0.003099531516297786,-12.743160018697381,-2.1407841658045898e-5,0.0,0.0,
2022/04/01 03:40,16.00144831558515,0.44176097634738076,0.0049711556450126445,5.753780444649465,0.5118535883253575,0.0029024312706248646,209.7304690715072,2.1454331545466874e-5,-0.0,-1.4599999999999795,0.9100796559834861,0.0030842795634297778,-12.304309493621531,-2.0629870217794873e-5,0.0,0.0,
2022/04/01 03:50,15.802963003772277,0.44016343235702865,0.004890072682994044,5.565402486183189,0.5157426731807403,0.002886441172451103,207.5448083364296,2.0742429217588306e-5,-0.0,-1.5266666666666424,0.9100526149477259,0.003069028354815697,-11.875020958828827,-1.9868835857683632e-5,0.0,0.0,
