period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto,w01-base_o04-none_kyoto,w01-base_o05-storage_kyoto,w02-inner_o01-base_kyoto,w02-inner_o02-low_kyoto,w02-inner_o03-high_kyoto,w02-inner_o04-none_kyoto,w02-inner_o05-storage_kyoto,w03-outer_o01-base_kyoto,w03-outer_o02-low_kyoto,w03-outer_o03-high_kyoto,w03-outer_o04-none_kyoto,w03-outer_o05-storage_kyoto,w04-hygro_o01-base_kyoto,w04-hygro_o02-low_kyoto,w04-hygro_o03-high_kyoto,w04-hygro_o04-none_kyoto,w04-hygro_o05-storage_kyoto
0.1,3.974426173555974e-06,4.307544603174958e-06,6.15073087863737e-06,2.60202469751489e-06,4.045686988558101e-06,1.40701812736892e-05,9.28921275653803e-06,2.624973460573151e-05,1.6046739706710202e-06,1.8931317371041206e-05,,,,,,1.3410565657543226e-05,7.279376066887696e-06,1.737688291919066e-05,1.7561895553981814e-06,1.107194665699298e-05
0.2,8.152315236513733e-06,8.017709852716461e-06,1.9587892101415364e-05,3.1461615385812764e-06,1.0931163391510056e-05,3.94895970209585e-05,2.166948211785898e-05,0.0001027119802104,5.377706346741619e-06,6.28800924812918e-05,,,,,,3.412165004403561e-05,1.6952786076255384e-05,7.228057883704608e-05,3.8164419753844165e-06,4.130412126343754e-05
0.5,2.273022461422081e-05,2.039949165558553e-05,6.63237429238558e-05,1.2431208499955951e-05,3.4997901325921156e-05,0.0001518240185896,6.667170657914061e-05,0.0005059871009628,3.7879519668038725e-05,0.0002855874937386,,,,,,0.0001049770604397,6.233986369762687e-05,0.0002738853928768,4.69196687962741e-05,0.0001535113146597
1.0,5.699784892623019e-05,4.303160378469763e-05,0.0001878787201717,2.9083485209822844e-05,9.787514615445382e-05,0.0004939868156408,0.0001867014748592,0.0012922759264133,6.836546746713832e-05,0.0008382869110518,,,,,,0.0003296862919017,0.0001943658747424,0.0008000255588475,0.0001429310095279,0.0004687857632309
2.0,0.0002753921937466,0.0001366554519552,0.0008648653033144,7.05856488563212e-05,0.0004866196471945,0.0015819939902124,0.0006769906940706,0.0029220504458722,0.0001267333936784,0.0022853155264636,,,,,,0.0013270731543145,0.0006925758871376,0.0025786646121551,0.0002968302544935,0.0018508820638866
7.0,0.000975800018842,0.000356500590308,0.0029345036375946,0.0001507133636919,0.0017831926238399,0.0028048490222292,0.0012598829553258,0.0046438422236204,0.0001988784221517,0.0038187398454034,,,,,,0.0032026456605812,0.0015431999614488,0.0055093553236481,0.0005416069794612,0.0043528065500667
14.0,0.0010686535161224,0.0005222091173165,0.0028388081342177,0.0001560735065675,0.0018187469492861,0.0022081131218988,0.0009764079752725,0.0037535890580726,0.0001844285217637,0.0030612741531253,,,,,,0.0016055679935368,0.0011194763169594,0.0032841506232302,0.0004506927049991,0.0026198738451827
30.0,0.0031621313408496,0.0017104493788129,0.0050357164661295,0.0001515529243553,0.0042301594836859,0.0039334785484931,0.00273800365245,0.0049822568004716,0.0001746525264055,0.0045451794350409,,,,,,0.0054767431324262,0.00386938993309,0.0069236619843381,0.0004077438763889,0.0063171037184384
90.0,0.0105049897129824,0.0079374762008631,0.0120326499926905,0.001869587615482,0.011406461887542,0.0117408180085406,0.010150700629426,0.012513503545587,0.0019925551855296,0.0122420686472704,,,,,,0.0142485572898069,0.0124407111401817,0.0148411045851764,0.0029087795852938,0.014835027770085
365.0,,,,,,,,,,,,,,,,,,,,
