period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto,w01-base_o04-none_kyoto,w01-base_o05-storage_kyoto,w02-inner_o01-base_kyoto,w02-inner_o02-low_kyoto,w02-inner_o03-high_kyoto,w02-inner_o04-none_kyoto,w02-inner_o05-storage_kyoto,w03-outer_o01-base_kyoto,w03-outer_o02-low_kyoto,w03-outer_o03-high_kyoto,w03-outer_o04-none_kyoto,w03-outer_o05-storage_kyoto,w04-hygro_o01-base_kyoto,w04-hygro_o02-low_kyoto,w04-hygro_o03-high_kyoto,w04-hygro_o04-none_kyoto,w04-hygro_o05-storage_kyoto
0.1,0.6196283502721424,0.5073208761226767,0.6497316116887363,0.5707654535202491,0.6387753612210809,-1.1102392955711284,-1.163546654522856,-0.9412464966869234,-1.2021031679781795,-1.0455785820644632,,,,,,-1.2918702490763776,-1.3239539962029525,-1.255120180451886,-1.3042952727591968,-1.303887292277609
0.2,1.0906060323439737,0.9255722383128664,1.1207048748125814,1.0219127264568848,1.1016451998065266,-1.2275986986229577,-1.2698920663490951,-1.0893481346803853,-1.3285137536881348,-1.1815310085293185,,,,,,-1.4394078388738496,-1.4683202387471836,-1.3477133576151794,-1.4558128752840214,-1.4367286661040457
0.5,-0.1867089403631054,-0.5048790862210226,0.0056953429117928,-0.3383545523051244,-0.065531852955004,-0.9538148995621696,-1.0924440554200514,-0.2299810930583901,-1.1549264507152877,-0.6979613734139815,,,,,,-1.4886267040785006,-1.553042744478488,-1.2561662430882683,-1.5624054935623022,-1.4256253395912457
1.0,-2.813118525776547,3.0205592683955267,-2.723909896696425,-3.0427683357984057,-2.7112700291347993,-1.6871077267575554,-1.6840160153239685,-1.520282231147005,-1.3042950688395962,-1.6021289919536854,,,,,,-1.0514139616187803,-1.3160004175170956,-1.3637754882415642,-0.9968300950127532,-1.1401987958017177
2.0,2.5348057614795665,2.551905194249282,2.5027385846297636,2.576623161356906,2.5310751101630085,2.635727414736623,2.6189717558808665,2.950357998608154,2.845285010765553,2.7334183020879217,,,,,,-1.2087910716977146,-1.5519695398737623,-1.4134046582710105,-1.0392218144953145,-1.4335423490094044
7.0,-0.5282164166631238,-0.5612368662843691,-0.5136514474360134,-0.5445656734324839,-0.5181251226555827,-0.5184840351732705,-0.5332877745210062,-0.459488798144979,-0.5174422199964811,-0.4941709873534355,,,,,,-1.157044078903159,-0.9433414488882392,-1.0044993220346488,-1.1892858437793503,-1.0554993876255732
14.0,-1.5368427491003671,-1.6921794603671656,-1.4190987129097026,-1.626548316436056,-1.471927507813805,-1.0486489564021435,-1.0630086212115115,-1.07107268296978,-1.0207642826161432,-1.044437243864853,,,,,,-0.6395633197547179,-0.7870688258817045,-1.2310924875790752,-0.6477336670680787,-0.7388371699548947
30.0,1.217634282446587,1.2251102475119022,1.2211339137059338,1.2255544178832574,1.2180685043356694,0.959007164027582,0.9476400773159528,1.0231072628390867,0.9403884245769004,0.9811165260876928,,,,,,-1.24342621391827,-1.354749262808994,-1.5939210881532724,-1.2363926923443098,-1.5122653302856237
90.0,-1.44965508239662,-1.4523793716471658,-1.4493678713838127,-1.4482403960763028,-1.449190598179573,-1.4274972013763565,-1.423824999742185,-1.4293605170443775,-1.414148475206661,-1.4284138306654628,,,,,,-2.310214271351216,-2.359653822782602,-2.4315236650654444,-2.309182445482151,-2.2714329894070753
365.0,,,,,,,,,,,,,,,,,,,,
