period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto,w01-base_o04-none_kyoto,w01-base_o05-storage_kyoto,w02-inner_o01-base_kyoto,w02-inner_o02-low_kyoto,w02-inner_o03-high_kyoto,w02-inner_o04-none_kyoto,w02-inner_o05-storage_kyoto,w03-outer_o01-base_kyoto,w03-outer_o02-low_kyoto,w03-outer_o03-high_kyoto,w03-outer_o04-none_kyoto,w03-outer_o05-storage_kyoto,w04-hygro_o01-base_kyoto,w04-hygro_o02-low_kyoto,w04-hygro_o03-high_kyoto,w04-hygro_o04-none_kyoto,w04-hygro_o05-storage_kyoto
0.1,0.7345256405817493,0.659140874788712,0.7133054989611716,0.5173425755370616,0.6975358916470468,-0.6303447061992395,-0.8962821496574274,0.2839417097343248,-1.1128653673488362,-0.2182449640759286,,,,,,-1.173182979504486,-1.245547641711923,-1.121657576977052,-1.2452750329596656,-1.2048631084527937
0.2,1.147999116696826,1.0336230160121058,1.1829139319252535,0.9243627804776992,1.139190005331614,-0.7411730237701275,-1.023987873185091,0.6047235552269958,-1.2515483858017535,-0.2200513335777497,,,,,,-1.354803605119001,-1.426479168007624,-1.2418207470830205,-1.4303303765065336,-1.353405454265171
0.5,0.1317123327100938,-0.1939537675492537,0.2555993577747987,-0.3478147236587856,0.1673543910246932,-0.4208519655066644,-0.7375884800059898,0.9269683618330228,-1.015921753897392,0.1190175223802683,,,,,,-1.4397784944862608,-1.5568195967201894,-1.1989841839838078,-1.5350401027010607,-1.355392459724762
1.0,-2.695295004177635,-3.05554197346299,-2.3124301026289396,-2.7894191232344268,-2.443544791513362,-0.1529201521362423,-0.9071434112804824,0.712914831374587,-1.031716941144452,0.3272220434372944,,,,,,-0.3425426831413364,-0.8529607165159551,-0.0748582154137306,-0.9061016797662058,-0.399266421492131
2.0,2.3996055667310747,2.3810151129453407,2.346772224130659,2.551883428396001,2.413448473679065,1.1765040301924423,1.4370954515422023,1.5891269907292456,2.5490112190465433,1.4696162408534197,,,,,,0.4784841583400838,-1.2176208285716708,-0.0795279501649051,-0.9688830485552108,-0.3142309422440041
7.0,-0.5988748112177047,-0.4787630925110524,-1.1182544863602517,-0.5136246103661959,-0.9131992142090464,-0.5856333869705841,-0.4521099240275924,-0.6638098454800774,-0.4226770383355608,-0.6099911058811528,,,,,,-1.02618084795716,-1.313537888016274,-1.4573685581216522,-0.9872754578928328,-1.62922845170359
14.0,0.4606463881254936,0.3557952055026536,-1.7507593198165905,0.0847889666592335,2.50715285507451,-0.4120913486734132,0.117091026929483,-0.9440858202477216,0.0218454539851908,-0.6958254584136674,,,,,,-0.7480595280177361,-0.6596464581716137,-1.2151733783313745,-0.7499459258480926,-0.1130192678883757
30.0,1.2238311427807835,1.3380431475227226,1.1842218091844108,1.2316184222240365,1.1329657971225815,1.380121542927286,1.4395244290087406,1.3138006697326043,1.1122041445239212,1.344207596441555,,,,,,0.5477835677393997,-0.2249074947722937,0.0673397243794619,-1.0211673123607532,1.0714165567556866
90.0,-3.0672260382356336,-2.7067710078391154,2.9300016649576937,-2.533156285173254,2.9936233605420544,3.069996129566268,-3.0135180158625796,2.959073528737171,-2.532327389000096,2.997878098772535,,,,,,-2.662254302805892,-2.5524638992739557,-2.879332994027521,-2.1538645864304566,-2.708376558847624
365.0,,,,,,,,,,,,,,,,,,,,
