temp,rh,miu,pv,phi,dphi,crow,lam,dw,dp,ldml,ldmg,ldtg
20.0,0.00010000000000000009,-1.2471052101273674e6,0.23388037000739834,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,6.588669661787664e-14,8.328868556991534e-10
20.0,0.0002000000000000002,-1.1532511911280751e6,0.4677607400147967,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.3177339323575328e-13,1.6235855396352177e-9
20.0,0.0003000000000000006,-1.0983501094715178e6,0.7016411100221959,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.9766008985363016e-13,2.398360561769744e-9
20.0,0.00040000000000000045,-1.0593971721287826e6,0.9355214800295937,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,2.6354678647150666e-13,3.1627947357442575e-9
20.0,0.0005000000000000001,-1.029182926594818e6,1.169401850036991,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,3.29433483089383e-13,3.919539525274137e-9
20.0,0.0006000000000000003,-1.0044960904722256e6,1.4032822200443895,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,3.953201797072597e-13,4.670156608250211e-9
20.0,0.0007000000000000001,-983623.6679348159,1.6371625900517872,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,4.612068763251361e-13,5.4156778891130485e-9
20.0,0.0008000000000000003,-965543.1531294901,1.8710429600591858,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,5.270935729430128e-13,6.156836784436153e-9
20.0,0.0009000000000000006,-949595.0088156685,2.1049233300665846,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,5.929802695608897e-13,6.894181669326063e-9
20.0,0.001000000000000001,-935328.9075955256,2.338803700073984,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,6.588669661787666e-13,7.628138191732836e-9
20.0,0.0011000000000000012,-922423.6492650295,2.5726840700813822,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,7.247536627966433e-13,8.359046388377162e-9
20.0,0.0011999999999999995,-910642.0714729332,2.8065644400887764,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,7.906403594145186e-13,9.087184185921879e-9
20.0,0.0013000000000000006,-899804.070515217,3.040444810096177,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,8.56527056032396e-13,9.812783012307678e-9
20.0,0.0014000000000000015,-889769.6489355235,3.2743251801035775,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,9.224137526502732e-13,1.0536038575884482e-8
20.0,0.0015000000000000007,-880427.8259389686,3.508205550110974,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,9.883004492681493e-13,1.1257118549183818e-8
20.0,0.001600000000000002,-871689.1341301976,3.742085920118375,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.0541871458860269e-12,1.1976168194767603e-8
20.0,0.0017000000000000016,-863480.3949657562,3.9759662901257724,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.120073842503903e-12,1.2693314579299338e-8
20.0,0.0018000000000000013,-855740.9898163761,4.209846660133169,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.1859605391217793e-12,1.3408669792784322e-8
20.0,0.0018999999999999996,-848420.1405730161,4.443727030140564,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.251847235739655e-12,1.4122333450327948e-8
20.0,0.0020000000000000026,-841474.8885962331,4.677607400147969,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.3177339323575334e-12,1.4834394665834783e-8
20.0,0.002099999999999999,-834868.5672789665,4.911487770155358,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.3836206289754075e-12,1.5544933630045102e-8
