temp,rh,miu,pv,phi,dphi,crow,lam,dw,dp,ldml,ldmg,ldtg
20,0.0001,-1.25E+06,0.23388037,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0002,-1.15E+06,0.46776074,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0003,-1.10E+06,0.70164111,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0004,-1.06E+06,0.93552148,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0005,-1.03E+06,1.16940185,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0006,-1.00E+06,1.40328222,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0007,-983623.6679,1.63716259,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0008,-965543.1531,1.87104296,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0009,-949595.0088,2.10492333,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.001,-935328.9076,2.3388037,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0011,-922423.6493,2.57268407,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0012,-910642.0715,2.80656444,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0013,-899804.0705,3.04044481,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0014,-889769.6489,3.27432518,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0015,-880427.8259,3.50820555,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0016,-871689.1341,3.74208592,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0017,-863480.395,3.97596629,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0018,-855740.9898,4.20984666,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0019,-848420.1406,4.44372703,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.002,-841474.8886,4.6776074,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0021,-834868.5673,4.91148777,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0022,-828569.6303,5.14536814,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0023,-822550.7404,5.37924851,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0024,-816788.0525,5.61312888,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0025,-811260.6431,5.84700925,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0026,-805950.0515,6.08088962,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0027,-800839.9082,6.31476999,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0028,-795915.6299,6.54865036,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0029,-791164.1695,6.78253073,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.003,-786573.8069,7.0164111,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0031,-782133.9755,7.25029147,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0032,-777835.1151,7.48417184,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0033,-773668.5486,7.71805221,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0034,-769626.376,7.95193258,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0035,-765701.3844,8.18581295,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0036,-761886.9708,8.41969332,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0037,-758177.075,8.65357369,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0038,-754566.1216,8.88745406,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0039,-751048.9699,9.12133443,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.004,-747620.8696,9.3552148,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0041,-744277.4225,9.58909517,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0042,-741014.5483,9.82297554,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0043,-737828.4547,10.05685591,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0044,-734715.6113,10.29073628,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0045,-731672.7253,10.52461665,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0046,-728696.7214,10.75849702,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0047,-725784.7225,10.99237739,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0048,-722934.0335,11.22625776,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0049,-720142.1257,11.46013813,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.005,-717406.6241,11.6940185,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0051,-714725.2943,11.92789887,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0052,-712096.0325,12.16177924,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0053,-709516.855,12.39565961,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0054,-706985.8892,12.62953998,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0055,-704501.3657,12.86342035,0.001,0.001,3.72E+06,45,0,0,0,0,0
20,0.0056,-702061.6109,13.09730072,0.001,0.001,3.72E+06,45,0,0,0,0,0
