  , room1 , room1 , room1 , wall1_IP , wall1_IP , wall1_IP , wall1_IP , wall1_IP , wall1_IP , room2 , room2 , room2 , opening1 , opening1 , Heat source , Moisture source , 
  , temp , rh , ah , temp , rh , ah , Hw , Jwv , Jwl , temp , rh , ah , Hv , Jv , Hin , Jin , 
2022/04/01 00:00,19.899999999999977,0.83,0.012072661900957864,20.0,0.5000000000000001,0.00726237937927264,234.00000000005318,-0.008205354170373127,-0.0,25.0,0.5,0.009881917493743442,-14.28583332572316,-2.8445387082472333e-5,0.0,0.0,
2022/04/01 00:10,19.810000000000002,0.8315169563317767,0.012026536241764483,21.525955273795716,0.5767085978385998,0.009230650703966845,4015.335340681971,-0.00475468136281821,-0.0,22.541152193795142,0.5007756641719947,0.00851755146561752,-22.882072180330397,-4.325982706220137e-5,0.0,0.0,
2022/04/01 00:20,19.70999999999998,0.8331956746648114,0.01197529337941602,21.510552527952143,0.6197177123380049,0.009920524594558007,4213.292915408062,-0.0034908059598005112,-0.0,22.094298823407712,0.5076869681309719,0.00840193344409915,-23.301862271401205,-4.3920572337543596e-5,0.0,0.0,
2022/04/01 00:30,19.610000000000014,0.8348670773184783,0.01192405879942984,21.379252074318742,0.6490018205501117,0.01031247254660447,4140.049853905824,-0.0027364159620206748,-0.0,21.817706470176347,0.5144583888164286,0.008371101335409874,-23.16881785808664,-4.362668339517638e-5,0.0,0.0,
2022/04/01 00:40,19.50999999999999,0.8365309864849017,0.011872832499798097,21.225052208490865,0.6706135993032952,0.010559714504354847,4013.2221678686456,-0.0022289361546130306,-0.0,21.622844120101547,0.5209668690595836,0.008376703504695788,-22.798239696417568,-4.292412032119758e-5,0.0,0.0,
2022/04/01 00:50,19.410000000000025,0.8381872219901558,0.01182161447851359,21.070220161911436,0.6873690401816053,0.01072392879616816,3884.915178872702,-0.0018629201444644993,-0.0,21.475129364098677,0.5271947092477987,0.008400866035905506,-22.306683490505293,-4.2014641885414065e-5,0.0,0.0,
2022/04/01 01:00,19.310000000000002,0.839835601266045,0.011770404733569762,20.921055967340408,0.7008045150396941,0.0108356610287591,3769.870963576548,-0.0015862337782251495,-0.0,21.35830899586881,0.5331355422969336,0.008435403762160162,-21.747524659556802,-4.099068877868205e-5,0.0,0.0,
2022/04/01 01:10,19.254999999999995,0.8400163295136385,0.01173196222099486,20.78962801234195,0.7118956439516397,0.01091994033679066,3591.0295488801735,-0.0013778783869399843,-0.0,21.265344770346246,0.5388022269855834,0.008477164846921792,-21.22451740234328,-4.0019999617583814e-5,0.0,0.0,
2022/04/01 01:20,19.204999999999984,0.8400277790069199,0.01169494189348756,20.67190633863231,0.7212280706507269,0.010984278932198369,3432.5608323996457,-0.001205835487010457,-0.0,21.19170517425823,0.5441921496798323,0.00852399923401728,-20.677701227692523,-3.900940299368923e-5,0.0,0.0,
2022/04/01 01:30,19.154999999999973,0.8400321335137421,0.011657925890914697,20.5631997116065,0.7291690886128221,0.011031874466020336,3295.187325159276,-0.0010622508875826621,-0.0,21.132136994014047,0.5492905135367209,0.008573118947794212,-20.116010652053774,-3.797590694445831e-5,0.0,0.0,
2022/04/01 01:40,19.105000000000018,0.8400293428483463,0.011620914212518417,20.461993825492527,0.7359925117636286,0.011066397066707874,3175.3655516524714,-0.0009408789611222896,-0.0,21.082712660718585,0.5540953173533403,0.008622575064353589,-19.552154593487558,-3.694160137787519e-5,0.0,0.0,
2022/04/01 01:50,19.055000000000007,0.8400193565319293,0.011583906857541048,20.36724026802159,0.74190251819483,0.011090608904890784,3070.6422271705032,-0.0008370219518996059,-0.0,21.040411412366666,0.5586131627435255,0.008670982188635436,-18.99516720130987,-3.5922115015616984e-5,0.0,0.0,
2022/04/01 02:00,19.004999999999995,0.8400021237910476,0.011546903825225087,20.278100128966457,0.7470543404043107,0.011106560785644336,2979.0543017815207,-0.0007471935133459247,-0.0,21.002916325432466,0.5628567964989292,0.008717384866161961,-18.451278984455712,-3.49281469854841e-5,0.0,0.0,
2022/04/01 02:10,19.0,0.837,0.011501215739411536,20.198690159431692,0.7515122173636954,0.011118319643409367,2804.934973070159,-0.0006497497923014123,-0.0,20.96962396323721,0.5668197788342678,0.008761425690232057,-17.86615721174894,-3.383730521659169e-5,0.0,0.0,
2022/04/01 02:20,19.0,0.8336666666666667,0.011454568910486743,20.127268835571783,0.7552926782413828,0.011125103927313336,2637.8090752379726,-0.000559115844793867,-0.0,20.939761087208865,0.5705008468373106,0.008802722980189517,-17.292674052237544,-3.276654676785513e-5,0.0,0.0,
2022/04/01 02:30,19.0,0.8303333333333334,0.011407928950582517,20.061584147910253,0.7584778298339694,0.01112671684035752,2484.1069061099915,-0.00047726262702234886,-0.0,20.911816138319693,0.5739235350676952,0.008840861906672819,-16.73983135800063,-3.173440211074939e-5,0.0,0.0,
2022/04/01 02:40,19.0,0.8269999999999998,0.011361295858181712,20.000789676646093,0.7611392382250484,0.011123747403320032,2341.8478433518576,-0.00040318988651306015,-0.0,20.88480648343443,0.5771098504460808,0.008875675787994416,-16.208716049591658,-3.074253751296659e-5,0.0,0.0,
2022/04/01 02:50,19.0,0.8236666666666665,0.011314669631767634,19.944281342644956,0.7633369829104711,0.011116754179312106,2209.618341789197,-0.0003359494181533313,-0.0,20.85806452207612,0.5800806173553807,0.008907141775196116,-15.699477115063473,-2.9790999641853545e-5,0.0,0.0,
2022/04/01 03:00,19.0,0.8203333333333332,0.01126805026982403,19.891574481415205,0.7651216057264111,0.011106215962207712,2086.2842865115795,-0.00027472866959137,-0.0,20.83114677267025,0.5828550779905212,0.008935329235680403,-15.211662200045339,-2.887880503004228e-5,0.0,0.0,
2022/04/01 03:10,18.879999999999995,0.8201134313418972,0.011179353209086989,19.81221128140021,0.7663896494234712,0.01106936020143685,2181.3743984765006,-0.0001867603081926076,-0.0,20.798547491370527,0.5853844738487485,0.008956414769571446,-14.495770449389056,-2.7596578678570636e-5,0.0,0.0,
2022/04/01 03:20,18.74666666666667,0.8201937229274517,0.011086006583514092,19.71716385097085,0.7671673366824656,0.011014472789604605,2270.9634112717786,-0.0001214877389666254,-0.0,20.756492875434958,0.5876736016485444,0.00896835543483519,-13.809192552278546,-2.636976158084982e-5,0.0,0.0,
2022/04/01 03:30,18.613333333333344,0.820224973073056,0.010992687477183722,19.618173620262667,0.7675833850158497,0.0109518201129657,2351.326271414615,-6.942323166698672e-5,-0.0,20.70771354406054,0.5897831401071939,0.008973621276345402,-13.166320600336803,-2.5220024653397222e-5,0.0,0.0,
2022/04/01 03:40,18.480000000000018,0.8202062462889985,0.010899395877928372,19.517451599698347,0.7677065562786347,0.01088405663070942,2427.63674329409,-2.606410127823087e-5,-0.0,20.653912716375146,0.5917463914237017,0.008973694588830516,-12.557488477700645,-2.4130203266424188e-5,0.0,0.0,
2022/04/01 03:50,18.346666666666692,0.8201365923933067,0.010806131773587703,19.415854588913078,0.7675836869259125,0.010812540351447677,2501.8997380565415,1.0892145982743155e-5,-0.0,20.59623068960832,0.5935829969538139,0.008969535649316662,-11.976434143390179,-2.308919929442578e-5,0.0,0.0,
2022/04/01 04:00,18.21333333333331,0.8200150462887522,0.010712895152008557,19.31377270278557,0.7672494796187401,0.010738108558937375,2575.0281245182896,4.286456288695684e-5,-0.0,20.535432527455725,0.5953040761091225,0.008961764956616268,-11.41911124850185,-2.20898593118706e-5,0.0,0.0,
2022/04/01 04:10,18.125,0.8200449973888063,0.010652984668825149,19.22741514887872,0.7668647689509283,0.010674060857055908,2579.651448376204,3.583802121397201e-5,-0.0,20.474569092017873,0.5969761993103166,0.008953127824325006,-11.084757983700456,-2.1484237799091832e-5,0.0,0.0,
2022/04/01 04:20,18.041666666666686,0.8200766696693849,0.010596784897959035,19.150461192534465,0.7665193859284967,0.010617243602556501,2594.5791905306032,3.4794265231379434e-5,-0.0,20.415928973259383,0.5986246396666334,0.008945298610097928,-10.769333825710873,-2.0912135320988646e-5,0.0,0.0,
2022/04/01 04:30,17.958333333333314,0.8200888298537563,0.01054059511087164,19.076338234191155,0.7661696764386946,0.010562537386983236,2616.1314680073474,3.7323928515083575e-5,-0.0,20.358328446038968,0.600217574861382,0.008937136620166364,-10.456144800596576,-2.0344199973715125e-5,0.0,0.0,
2022/04/01 04:40,17.875,0.8200812452347741,0.010484415304902803,19.0036853079219,0.765799604665419,0.010508783598638024,2641.1236205372425,4.145780221452751e-5,-0.0,20.301027959335784,0.6017401912194013,0.00892801371219133,-10.149287004063808,-1.978772386240363e-5,0.0,0.0,
2022/04/01 04:50,17.791666666666686,0.8200536808176477,0.010428245477393303,18.93190484626126,0.7654017395249612,0.01045547155291841,2668.1573402513072,4.6327767951006625e-5,-0.0,20.243555744617026,0.6031855793149165,0.008917573978712026,-9.85108128954289,-1.9246825852041225e-5,0.0,0.0,
2022/04/01 05:00,17.708333333333314,0.8200058992982246,0.010372085625684875,18.860671087721357,0.7649727097900817,0.010402335650952887,2696.47034526802,5.1482203808989406e-5,-0.0,20.185623708264018,0.6045517807901365,0.008905640340682383,-9.562682371275514,-1.8723542329148553e-5,0.0,0.0,
2022/04/01 05:10,17.75999999999999,0.8108345642865776,0.010288174124048546,18.803794471799335,0.7643439236792098,0.010356142733541717,2442.479064010466,0.00011569887292878799,-0.0,20.13047883848202,0.6057639759533691,0.008892925166743927,-9.098411474339173,-1.7815224296366614e-5,0.0,0.0,
2022/04/01 05:20,17.826666666666654,0.8007198520762192,0.010201201232539474,18.75796985211855,0.763273237785329,0.010311313562758849,2179.249453957435,0.0001874766688292555,-0.0,20.079584994960157,0.6067613253069788,0.008879360961551449,-8.619713797911118,-1.687555298931084e-5,0.0,0.0,
2022/04/01 05:30,17.893333333333317,0.7906774150457242,0.010114252264436923,18.71814273503651,0.7617623721309054,0.010264537829987614,1930.0539999854684,0.00025592953494102676,-0.0,20.031291928856035,0.607562776985091,0.008864331863137499,-8.150724687272032,-1.5955317066682458e-5,0.0,0.0,
2022/04/01 05:40,17.95999999999998,0.7807067730525434,0.010027327209871425,18.68320359695815,0.7598275817003846,0.010215313269829836,1692.2964168821213,0.00032020073322654814,-0.0,19.984750514032953,0.6081831732497687,0.00884760555656788,-7.692959002583393,-1.5057011452230862e-5,0.0,0.0,
2022/04/01 05:50,18.026666666666642,0.7708074491679983,0.009940426058978942,18.652594006028323,0.7574870169025767,0.010163522541179559,1464.6699741063333,0.0003800884699077144,-0.0,19.93944373786553,0.6086366056783168,0.008829121530388872,-7.246811274413176,-1.4181183854596903e-5,0.0,0.0,
2022/04/01 06:00,18.093333333333362,0.7609789696550429,0.009853548801900858,18.625957700617846,0.754758455023912,0.010109171126754428,1246.3410194456924,0.00043559993256093196,-0.0,19.895058798907485,0.6089362508151406,0.00880891737202605,-6.812036331056333,-1.332727462717036e-5,0.0,0.0,
2022/04/01 06:10,17.980000000000018,0.7629806886156694,0.009808600220877449,18.585565974140877,0.7519145321898263,0.010044614458324774,1417.02437948961,0.00040225595113437554,-0.0,19.84705036702377,0.609206363803855,0.008786314922024191,-6.666317322396026,-1.3083510877363495e-5,0.0,0.0,
2022/04/01 06:20,17.846666666666692,0.7663007001013014,0.009768313803209859,18.534689177727046,0.7493316531937024,0.009977196187267534,1609.9726758812267,0.000356073875642945,-0.0,19.79344808535876,0.609547281308924,0.008761708005064785,-6.564071376674292,-1.292633638607983e-5,0.0,0.0,
2022/04/01 06:30,17.71333333333331,0.7696291720527486,0.00972803252283216,18.47913532094475,0.7470229039071566,0.009910849144592842,1791.9766510107681,0.0003116931534318575,-0.0,19.736271119847117,0.6099425714666781,0.008735980067464375,-6.469169101190346,-1.278116192832608e-5,0.0,0.0,
2022/04/01 06:40,17.579999999999984,0.7729659949378394,0.009687756378761757,18.419982495845204,0.7449801053206353,0.00984615358559117,1965.5590402778146,0.0002701041504208318,-0.0,19.676584328438366,0.6103829243908833,0.008709586698491527,-6.378639594193373,-1.264289094271223e-5,0.0,0.0,
2022/04/01 06:50,17.44666666666666,0.7763110560583134,0.009647485370016312,18.357709921662774,0.7431899617804222,0.009783229033219423,2131.841216690911,0.00023151239310257462,-0.0,19.61508268782785,0.6108598253566409,0.008682788591149153,-6.290782871509236,-1.250863819148525e-5,0.0,0.0,
2022/04/01 07:00,17.313333333333333,0.7796642394904298,0.009607219495613733,18.292605839230305,0.741637463723895,0.009722046348825153,2291.497663798915,0.00019586998417665507,-0.0,19.552232111338526,0.6113652827449528,0.008655726834578235,-6.204678885148951,-1.2376875079634871e-5,0.0,0.0,
2022/04/01 07:10,17.314999999999998,0.7709532472994891,0.009499257922910408,18.22819296772809,0.7399279441543117,0.009659533069133605,2136.871544483739,0.00027346882601681616,-0.0,19.490410827420874,0.611729235785014,0.008627264656668302,-5.686263729198345,-1.1384728902909708e-5,0.0,0.0,
2022/04/01 07:20,17.33166666666665,0.7609206992181746,0.009383814403897923,18.166700100026105,0.7376260989427721,0.009591323399971484,1953.9782340611268,0.0003541643747642951,-0.0,19.429978806938664,0.6118389267424131,0.00859601016625891,-5.137267494623302,-1.0330055517167975e-5,0.0,0.0,
2022/04/01 07:30,17.348333333333358,0.7509085369310429,0.009268413085315706,18.1081083083252,0.7347814000481548,0.009518114468935964,1777.8734414809105,0.000426303228254651,-0.0,19.37028361257842,0.6117429432609671,0.008562334751183705,-4.60433328648287,-9.30569999357857e-6,0.0,0.0,
2022/04/01 07:40,17.36500000000001,0.7409167247170074,0.009153053944028404,18.052518321325294,0.7314340061404175,0.009440536391741073,1608.7928719011675,0.0004909550495707322,-0.0,19.311144502881007,0.6114673454131787,0.008526538442190723,-4.085504454905731,-8.307989598393194e-6,0.0,0.0,
2022/04/01 07:50,17.38166666666666,0.7309452269166854,0.009037736956917576,17.999955182256713,0.7276170186804725,0.009359065480806698,1446.7951264807218,0.0005489276039917426,-0.0,19.252460408682907,0.6110304406154431,0.00848884996029947,-3.5792893605121208,-7.334138730419738e-6,0.0,0.0,
2022/04/01 08:00,17.398333333333312,0.7209940079322509,0.008922462100881672,17.950401083741554,0.7233583719068309,0.0092740726439579,1291.838535955285,0.0006008492050360385,-0.0,19.1941618589795,0.6104457932884555,0.008449444795066277,-3.084543486134862,-6.382014160635657e-6,0.0,0.0,
2022/04/01 08:10,17.475000000000023,0.720040366990457,0.008954385260377383,17.95398356388597,0.7194536225014098,0.009225378667981893,1120.8215394931165,0.00046309901292088633,-0.0,19.14305895199567,0.6100341525828836,0.008416448001898546,-3.5078861728543416,-7.122349817138504e-6,0.0,0.0,
2022/04/01 08:20,17.558333333333337,0.7200682386985692,0.009002668200318486,17.98847189435446,0.7165113111657321,0.00920734783937734,1006.5242327894304,0.0003497590373240987,-0.0,19.105355526171365,0.6099457991769147,0.008395181604156648,-3.961417056137634,-7.921778849115702e-6,0.0,0.0,
2022/04/01 08:30,17.64166666666665,0.7200784393863512,0.009050958530399836,18.03183493008663,0.7142899178382328,0.009203823350588896,912.9937364027534,0.00026119871869306684,-0.0,19.076975274756762,0.6100402801897439,0.008381447469047015,-4.365878283525944,-8.633220262124481e-6,0.0,0.0,
2022/04/01 08:40,17.725000000000023,0.720071177255811,0.009099256252318257,18.079255317639877,0.7126499021400002,0.009210208191133232,828.9574432772588,0.00018956613583753226,-0.0,19.05516499871794,0.6102490041036257,0.008372798524265887,-4.737227212340713,-9.285262701996092e-6,0.0,0.0,
2022/04/01 08:50,17.808333333333337,0.720046658478133,0.009147561367771083,18.12864477708149,0.7114897147557859,0.0092240081350908,749.5287783706782,0.0001305997218901926,-0.0,19.03811537885838,0.6105337341094812,0.008367730222366134,-5.085275000029469,-9.895449741972734e-6,0.0,0.0,
2022/04/01 09:00,17.89166666666665,0.7200050872127831,0.009195873878456181,18.178940732621697,0.7107299654426488,0.009243612257065275,672.2213143348074,8.154626249474001e-5,-0.0,19.024673765913235,0.6108746778263306,0.008365350877790008,-5.415836334728283,-1.047415336743039e-5,0.0,0.0,
