セル番号,セル幅,中点までの距離,材料名称,温度,相対湿度,含水率,化学ポテンシャル
-,-,-,-,℃,%,kg/kg,J/kg
i,dx,dx2,material_name,temp,rh,phi,miu
1,0.0015,0,metal_plate,20,65,,
2,0.0015,0.0015,metal_plate,20,65,,
3,0.02,0.003,glass_wool_16K,20,65,,
4,0.02,0.023,glass_wool_16K,20,65,,
5,0.02,0.043,glass_wool_16K,20,65,,
6,0.02,0.063,glass_wool_16K,20,65,,
7,0.02,0.083,glass_wool_16K,20,65,,
8,0.006,0.103,plasterboard,20,65,,
9,0.006,0.109,plasterboard,20,65,,
