セル番号,セル幅,中点までの距離,材料名称,温度,相対湿度,含水率,化学ポテンシャル
-,-,-,-,℃,%,kg/kg,J/kg
i,dx,dx2,material_name,temp,rh,phi,miu
1,0.02,0,concrete_goran,17,70,,
2,0.02,0.02,concrete_goran,17,70,,
3,0.02,0.04,concrete_goran,17,70,,
4,0.02,0.06,concrete_goran,17,70,,
5,0.02,0.08,concrete_goran,17,70,,
6,0.02,0.1,extruded_polystyrene,17,70,,
7,0.02,0.12,extruded_polystyrene,17,70,,
8,0.02,0.14,extruded_polystyrene,17,70,,
9,0.02,0.16,extruded_polystyrene,17,70,,
10,0.02,0.18,extruded_polystyrene,17,70,,
11,0.02,0.20,extruded_polystyrene,17,70,,
12,0.02,0.22,extruded_polystyrene,17,70,,
