Time [s],Time [day],Original,Reconstructed
0.0,0.0,24.539,24.53900000000001
600.0,0.006944444444444444,11.284,11.284000000000008
1200.0,0.013888888888888888,11.133,11.133000000000012
1800.0,0.020833333333333332,11.037,11.03700000000001
2400.0,0.027777777777777776,10.968,10.968000000000021
3000.0,0.034722222222222224,10.914,10.914000000000007
3600.0,0.041666666666666664,10.868,10.868000000000007
4200.0,0.04861111111111111,10.777,10.777000000000019
4800.0,0.05555555555555555,10.681,10.681000000000015
5400.0,0.0625,10.587,10.586999999999993
6000.0,0.06944444444444445,10.494,10.493999999999994
6600.0,0.0763888888888889,10.401,10.401000000000003
7200.0,0.08333333333333333,10.309,10.309000000000017
7800.0,0.09027777777777778,10.25,10.250000000000005
8400.0,0.09722222222222222,10.198,10.198000000000004
9000.0,0.10416666666666667,10.147,10.147000000000002
9600.0,0.1111111111111111,10.096,10.096000000000002
10200.0,0.11805555555555555,10.045,10.045000000000012
10800.0,0.125,9.994,9.994000000000009
11400.0,0.13194444444444445,9.939,9.939000000000009
12000.0,0.1388888888888889,9.885,9.88500000000002
12600.0,0.14583333333333334,9.83,9.830000000000005
13200.0,0.1527777777777778,9.776,9.77600000000001
13800.0,0.1597222222222222,9.721,9.721000000000007
14400.0,0.16666666666666666,9.667,9.667000000000007
15000.0,0.1736111111111111,9.619,9.619
15600.0,0.18055555555555555,9.571,9.57100000000001
16200.0,0.1875,9.524,9.524000000000012
16800.0,0.19444444444444445,9.478,9.478000000000002
17400.0,0.2013888888888889,9.433,9.43300000000001
18000.0,0.20833333333333334,9.389,9.389000000000005
18600.0,0.2152777777777778,9.345,9.345000000000004
19200.0,0.2222222222222222,9.301,9.301000000000004
19800.0,0.22916666666666666,9.258,9.258000000000024
20400.0,0.2361111111111111,9.215,9.215000000000007
21000.0,0.24305555555555555,9.172,9.172000000000002
21600.0,0.25,9.13,9.130000000000013
22200.0,0.2569444444444444,9.103,9.102999999999994
22800.0,0.2638888888888889,9.077,9.077000000000005
23400.0,0.2708333333333333,9.053,9.053000000000017
24000.0,0.2777777777777778,9.029,9.029000000000012
24600.0,0.2847222222222222,9.005,9.005000000000004
25200.0,0.2916666666666667,8.982,8.98200000000001
25800.0,0.2986111111111111,8.988,8.98800000000002
26400.0,0.3055555555555556,8.998,8.998000000000003
27000.0,0.3125,9.009,9.009000000000002
27600.0,0.3194444444444444,9.022,9.022000000000013
28200.0,0.3263888888888889,9.035,9.035000000000007
28800.0,0.3333333333333333,9.05,9.050000000000004
29400.0,0.3402777777777778,9.173,9.173000000000007
30000.0,0.3472222222222222,9.314,9.314000000000005
30600.0,0.3541666666666667,9.458,9.458000000000013
31200.0,0.3611111111111111,9.603,9.603000000000007
31800.0,0.3680555555555556,9.749,9.749000000000011
32400.0,0.375,9.896,9.896000000000022
33000.0,0.3819444444444444,10.055,10.055000000000003
33600.0,0.3888888888888889,10.217,10.217000000000006
34200.0,0.3958333333333333,10.379,10.379000000000008
34800.0,0.4027777777777778,10.543,10.543000000000013
35400.0,0.4097222222222222,10.708,10.708000000000014
36000.0,0.4166666666666667,10.874,10.874000000000006
36600.0,0.4236111111111111,11.091,11.091000000000001
37200.0,0.4305555555555556,11.318,11.318000000000016
37800.0,0.4375,11.546,11.546000000000019
38400.0,0.4444444444444444,11.776,11.776000000000002
39000.0,0.4513888888888889,12.007,12.00700000000001
39600.0,0.4583333333333333,12.24,12.240000000000016
40200.0,0.4652777777777778,12.38,12.380000000000006
40800.0,0.4722222222222222,12.507,12.507000000000012
41400.0,0.4791666666666667,12.633,12.633000000000004
42000.0,0.4861111111111111,12.761,12.761000000000017
42600.0,0.4930555555555556,12.889,12.889000000000017
43200.0,0.5,13.018,13.018000000000006
43800.0,0.5069444444444444,13.23,13.230000000000015
44400.0,0.5138888888888888,13.457,13.457000000000013
45000.0,0.5208333333333334,13.685,13.68500000000001
45600.0,0.5277777777777778,13.914,13.914000000000021
46200.0,0.5347222222222222,14.145,14.145000000000021
46800.0,0.5416666666666666,14.378,14.378000000000005
47400.0,0.5486111111111112,14.381,14.381
48000.0,0.5555555555555556,14.349,14.349000000000004
48600.0,0.5625,14.315,14.315000000000017
49200.0,0.5694444444444444,14.28,14.27999999999999
49800.0,0.5763888888888888,14.244,14.244000000000021
50400.0,0.5833333333333334,14.208,14.208000000000016
51000.0,0.5902777777777778,14.123,14.12300000000002
51600.0,0.5972222222222222,14.029,14.029000000000027
52200.0,0.6041666666666666,13.935,13.93500000000001
52800.0,0.6111111111111112,13.839,13.83900000000001
53400.0,0.6180555555555556,13.742,13.741999999999996
54000.0,0.625,13.645,13.64500000000001
54600.0,0.6319444444444444,13.587,13.58700000000001
55200.0,0.6388888888888888,13.534,13.534000000000015
55800.0,0.6458333333333334,13.482,13.48200000000002
56400.0,0.6527777777777778,13.429,13.429000000000011
57000.0,0.6597222222222222,13.375,13.375000000000021
57600.0,0.6666666666666666,13.321,13.321000000000005
58200.0,0.6736111111111112,13.167,13.167000000000016
58800.0,0.6805555555555556,12.998,12.998000000000014
59400.0,0.6875,12.825,12.82500000000002
60000.0,0.6944444444444444,12.651,12.651000000000021
60600.0,0.7013888888888888,12.475,12.475000000000007
61200.0,0.7083333333333334,12.297,12.297
61800.0,0.7152777777777778,12.042,12.042000000000016
62400.0,0.7222222222222222,11.773,11.77300000000001
63000.0,0.7291666666666666,11.501,11.501000000000012
63600.0,0.7361111111111112,11.226,11.226
64200.0,0.7430555555555556,10.95,10.950000000000006
64800.0,0.75,10.671,10.671
65400.0,0.7569444444444444,10.488,10.488000000000019
66000.0,0.7638888888888888,10.319,10.319000000000013
66600.0,0.7708333333333334,10.15,10.15
67200.0,0.7777777777777778,9.981,9.981000000000016
67800.0,0.7847222222222222,9.81,9.810000000000024
68400.0,0.7916666666666666,9.639,9.63899999999999
69000.0,0.7986111111111112,9.528,9.528000000000024
69600.0,0.8055555555555556,9.426,9.42600000000002
70200.0,0.8125,9.324,9.324000000000007
70800.0,0.8194444444444444,9.222,9.221999999999998
71400.0,0.8263888888888888,9.12,9.120000000000008
72000.0,0.8333333333333334,9.018,9.018000000000006
72600.0,0.8402777777777778,8.904,8.903999999999998
73200.0,0.8472222222222222,8.789,8.789000000000016
73800.0,0.8541666666666666,8.673,8.67300000000002
74400.0,0.8611111111111112,8.558,8.55800000000001
75000.0,0.8680555555555556,8.442,8.442000000000013
75600.0,0.875,8.326,8.326000000000002
76200.0,0.8819444444444444,8.222,8.222
76800.0,0.8888888888888888,8.12,8.119999999999997
77400.0,0.8958333333333334,8.017,8.01700000000001
78000.0,0.9027777777777778,7.915,7.915000000000005
78600.0,0.9097222222222222,7.813,7.813000000000006
79200.0,0.9166666666666666,7.712,7.7120000000000015
79800.0,0.9236111111111112,7.634,7.634000000000011
80400.0,0.9305555555555556,7.56,7.560000000000017
81000.0,0.9375,7.487,7.487000000000004
81600.0,0.9444444444444444,7.414,7.4140000000000015
82200.0,0.9513888888888888,7.341,7.341000000000004
82800.0,0.9583333333333334,7.268,7.267999999999999
83400.0,0.9652777777777778,7.183,7.183000000000014
84000.0,0.9722222222222222,7.097,7.097000000000009
84600.0,0.9791666666666666,7.01,7.010000000000013
85200.0,0.9861111111111112,6.924,6.924
85800.0,0.9930555555555556,6.837,6.836999999999997
86400.0,1.0,6.751,6.751000000000001
87000.0,1.0069444444444444,6.688,6.6880000000000095
87600.0,1.0138888888888888,6.63,6.629999999999998
88200.0,1.0208333333333333,6.571,6.570999999999997
88800.0,1.0277777777777777,6.513,6.513000000000015
89400.0,1.0347222222222223,6.455,6.455000000000011
90000.0,1.0416666666666667,6.398,6.398000000000018
90600.0,1.0486111111111112,6.353,6.352999999999993
91200.0,1.0555555555555556,6.31,6.310000000000002
91800.0,1.0625,6.267,6.267000000000011
92400.0,1.0694444444444444,6.225,6.225000000000008
93000.0,1.0763888888888888,6.183,6.183000000000009
93600.0,1.0833333333333333,6.141,6.14100000000002
94200.0,1.0902777777777777,6.087,6.087000000000008
94800.0,1.0972222222222223,6.032,6.03200000000001
95400.0,1.1041666666666667,5.976,5.976000000000011
96000.0,1.1111111111111112,5.921,5.9209999999999905
96600.0,1.1180555555555556,5.865,5.865000000000018
97200.0,1.125,5.81,5.810000000000018
97800.0,1.1319444444444444,5.804,5.804000000000009
98400.0,1.1388888888888888,5.805,5.805000000000005
99000.0,1.1458333333333333,5.808,5.8080000000000025
99600.0,1.1527777777777777,5.811,5.81100000000001
100200.0,1.1597222222222223,5.815,5.815000000000003
100800.0,1.1666666666666667,5.819,5.819000000000013
101400.0,1.1736111111111112,5.775,5.775000000000012
102000.0,1.1805555555555556,5.724,5.724000000000012
102600.0,1.1875,5.673,5.67300000000001
103200.0,1.1944444444444444,5.621,5.621000000000004
103800.0,1.2013888888888888,5.57,5.570000000000004
104400.0,1.2083333333333333,5.518,5.518000000000006
105000.0,1.2152777777777777,5.492,5.492000000000002
105600.0,1.2222222222222223,5.47,5.4700000000000095
106200.0,1.2291666666666667,5.448,5.448000000000016
106800.0,1.2361111111111112,5.426,5.426000000000005
107400.0,1.2430555555555556,5.404,5.404000000000001
108000.0,1.25,5.383,5.383000000000007
108600.0,1.2569444444444444,5.423,5.423000000000003
109200.0,1.2638888888888888,5.472,5.47200000000001
109800.0,1.2708333333333333,5.523,5.523000000000003
110400.0,1.2777777777777777,5.574,5.574000000000008
111000.0,1.2847222222222223,5.625,5.6250000000000115
111600.0,1.2916666666666667,5.677,5.6770000000000085
112200.0,1.2986111111111112,5.829,5.829000000000008
112800.0,1.3055555555555556,5.997,5.99700000000001
113400.0,1.3125,6.166,6.166000000000028
114000.0,1.3194444444444444,6.338,6.338000000000004
114600.0,1.3263888888888888,6.51,6.510000000000009
115200.0,1.3333333333333333,6.683,6.683000000000007
115800.0,1.3402777777777777,6.758,6.758000000000005
116400.0,1.3472222222222223,6.817,6.817000000000007
117000.0,1.3541666666666667,6.876,6.876000000000003
117600.0,1.3611111111111112,6.935,6.935000000000021
118200.0,1.3680555555555556,6.994,6.993999999999994
118800.0,1.375,7.053,7.0530000000000115
119400.0,1.3819444444444444,7.481,7.481000000000024
120000.0,1.3888888888888888,7.969,7.968999999999999
120600.0,1.3958333333333333,8.463,8.462999999999997
121200.0,1.4027777777777777,8.961,8.961000000000015
121800.0,1.4097222222222223,9.461,9.461000000000004
122400.0,1.4166666666666667,9.964,9.964000000000022
123000.0,1.4236111111111112,10.252,10.252000000000013
123600.0,1.4305555555555556,10.506,10.506000000000016
124200.0,1.4375,10.76,10.759999999999993
124800.0,1.4444444444444444,11.015,11.014999999999995
125400.0,1.4513888888888888,11.27,11.270000000000021
126000.0,1.4583333333333333,11.525,11.524999999999988
126600.0,1.4652777777777777,11.757,11.757000000000012
127200.0,1.4722222222222223,11.987,11.987000000000023
127800.0,1.4791666666666667,12.217,12.217000000000011
128400.0,1.4861111111111112,12.447,12.447000000000012
129000.0,1.4930555555555556,12.679,12.679000000000013
129600.0,1.5,12.911,12.91100000000001
130200.0,1.5069444444444444,13.008,13.00800000000001
130800.0,1.5138888888888888,13.084,13.084000000000001
131400.0,1.5208333333333333,13.158,13.158
132000.0,1.5277777777777777,13.231,13.231000000000018
132600.0,1.5347222222222223,13.304,13.304000000000014
133200.0,1.5416666666666667,13.375,13.375000000000004
133800.0,1.5486111111111112,13.481,13.481000000000014
134400.0,1.5555555555555556,13.592,13.592000000000017
135000.0,1.5625,13.702,13.702000000000012
135600.0,1.5694444444444444,13.813,13.812999999999995
136200.0,1.5763888888888888,13.922,13.922000000000006
136800.0,1.5833333333333333,14.031,14.031000000000017
137400.0,1.5902777777777777,13.996,13.99600000000001
138000.0,1.5972222222222223,13.936,13.93600000000001
138600.0,1.6041666666666667,13.875,13.875000000000004
139200.0,1.6111111111111112,13.811,13.811000000000005
139800.0,1.6180555555555556,13.746,13.746000000000018
140400.0,1.625,13.68,13.680000000000003
141000.0,1.6319444444444444,13.685,13.685000000000008
141600.0,1.6388888888888888,13.701,13.701000000000013
142200.0,1.6458333333333333,13.716,13.716000000000017
142800.0,1.6527777777777777,13.73,13.730000000000008
143400.0,1.6597222222222223,13.744,13.744000000000007
144000.0,1.6666666666666667,13.757,13.757000000000016
144600.0,1.6736111111111112,13.649,13.649000000000012
145200.0,1.6805555555555556,13.521,13.521000000000008
145800.0,1.6875,13.39,13.39
146400.0,1.6944444444444444,13.257,13.257000000000023
147000.0,1.7013888888888888,13.123,13.123000000000005
147600.0,1.7083333333333333,12.987,12.987000000000005
148200.0,1.7152777777777777,12.827,12.827000000000004
148800.0,1.7222222222222223,12.661,12.661000000000007
149400.0,1.7291666666666667,12.494,12.494000000000002
150000.0,1.7361111111111112,12.326,12.326000000000013
150600.0,1.7430555555555556,12.157,12.157000000000004
151200.0,1.75,11.987,11.987000000000018
151800.0,1.7569444444444444,11.832,11.832000000000017
152400.0,1.7638888888888888,11.679,11.679000000000016
153000.0,1.7708333333333333,11.525,11.525000000000002
153600.0,1.7777777777777777,11.371,11.371000000000008
154200.0,1.7847222222222223,11.216,11.216000000000014
154800.0,1.7916666666666667,11.062,11.062000000000005
155400.0,1.7986111111111112,10.964,10.96399999999999
