  , room1 , room1 , room1 , wall1_IP , wall1_IP , wall1_IP , wall1_IP , wall1_IP , wall1_IP , room2 , room2 , room2 , opening1 , opening1 , Heat source , Moisture source , 
  , temp , rh , ah , temp , rh , ah , Hw , Jwv , Jwl , temp , rh , ah , Hv , Jv , Hin , Jin , 
2022/11/20 07:20,1.589999999999975,0.7103453065161542,0.00300376418804069,1.5942766858489676,0.7125097850434314,0.003013889781555012,10.007444886642816,1.764191523505471e-5,-0.0,1.9353112117470346,0.6405234432895054,0.002775304834107934,-2.9795646093962205,-5.964469772784935e-6,0.0,0.0,
2022/11/20 07:30,1.6899999999999977,0.7053219938660824,0.003003977716692986,1.6499286116176108,0.7110776638273749,0.003019884469945278,-93.7670488147853,2.7714208034992857e-5,-0.0,1.9248327265129888,0.6409054899524417,0.0027748783891818475,-2.987911138407071,-5.9500917612143045e-6,0.0,0.0,
2022/11/20 07:40,1.7900000000000205,0.700338302920852,0.003004191245491184,1.7106739681125873,0.7091656380489897,0.0030249259293890175,-185.62291461659356,3.6125568967514566e-5,-0.0,1.915193422442428,0.6412845864232479,0.0027746052719701004,-2.9942579708022095,-5.932010045351497e-6,0.0,0.0,
2022/11/20 07:50,1.8899999999999864,0.6953938909775985,0.003004404774435283,1.775397984564222,0.7068453710868186,0.003029056606754038,-268.1687161196885,4.2950029198430986e-5,-0.0,1.906734901012669,0.6416616255397648,0.0027745574650568285,-2.997666310439854,-5.90846376372199e-6,0.0,0.0,
2022/11/20 08:00,1.990000000000009,0.6904884185454564,0.003004618303525284,1.8433815511352236,0.7041821850575632,0.0030323797395983626,-343.087170343598,4.836750987584581e-5,-0.0,1.8998569399370808,0.6420364048876388,0.002774813837827716,-2.9971075435832972,-5.877530139123787e-6,0.0,0.0,
2022/11/20 08:10,2.105000000000018,0.683838438904614,0.0030002067732852688,1.9168199918977962,0.7010259652992177,0.003034700160452397,-440.34121895919947,6.009648860803334e-5,-0.0,1.8952510817273946,0.6423544608720031,0.002775276082841394,-2.9335438154621443,-5.718998105809254e-6,0.0,0.0,
2022/11/20 08:20,2.2216666666666924,0.6770601564669758,0.0029952814213039442,1.9954129279374797,0.6972235000889702,0.0030352482620532783,-529.4337486263578,6.963316186127378e-5,-0.0,1.8929798754400622,0.6426343021998112,0.0027760375064592945,-2.859376944964424,-5.539859458414826e-6,0.0,0.0,
2022/11/20 08:30,2.33833333333331,0.6703525781370421,0.0029903561469510754,2.0778521181323413,0.6929034949925575,0.0030342554287661767,-609.5260435702664,7.648527339773064e-5,-0.0,1.893173168080068,0.6429000402998221,0.002777229129654144,-2.779600428316371,-5.350445775685484e-6,0.0,0.0,
2022/11/20 08:40,2.454999999999984,0.6637149206461803,0.002985430950224831,2.1635521646526854,0.6881734126639757,0.0030320262080623345,-681.9879347126789,8.118337437724402e-5,-0.0,1.8960021939263356,0.6431516354964704,0.0027788855970279705,-2.693762430941206,-5.1499122633106296e-6,0.0,0.0,
2022/11/20 08:50,2.5716666666666583,0.65714640994098,0.002980505831123373,2.252039834356083,0.6831216612120438,0.00302881392631687,-747.9267876067466,8.416876354272587e-5,-0.0,1.9015999375656065,0.6433883410977927,0.002781031106801743,-2.601547359855431,-4.937673276986609e-6,0.0,0.0,
