åé,ì˙,éû,ãCâ∑,ê‚ëŒéºìx,êÑíËì˙éÀó ,â∫å¸Ç´ëÂãCï˙éÀ,ìÏñkïó,ìåêºïó,ãCà≥,ç~êÖó ,ïóë¨,ïóå¸,ëæózçÇìx,ëæózï˚à ,ñ@ê¸ñ íºíBì˙éÀó ,êÖïΩñ ìVãÛì˙éÀó ,ñÈä‘ï˙éÀ
1,1,18,-2.390924,2.334161,0.000000,0.873778,1.046274,1.476708,99567.895426,0.503339,1.784018,225.000000,-13.621670,251.037903,0.000000,0.000000,0.223250
1,1,19,-2.861173,2.401738,0.000000,0.912368,0.940288,1.377710,99657.839324,1.291202,1.639073,225.000000,-24.217745,260.412455,0.000000,0.000000,0.177058
1,1,20,-3.152358,2.353800,0.000000,0.898848,0.696458,1.691427,99622.868233,1.478797,1.829198,247.500000,-35.111670,270.213741,0.000000,0.000000,0.185892
1,1,21,-3.569311,2.249427,0.000000,0.861259,1.041487,1.358834,99592.837114,1.412409,1.697284,225.000000,-45.981100,281.509615,0.000000,0.000000,0.216795
1,1,22,-3.853945,2.309554,0.000000,0.867285,1.055121,1.239641,99544.910277,1.337928,1.622642,225.000000,-56.316082,296.323920,0.000000,0.000000,0.206224
1,1,23,-3.963764,2.344181,0.000000,0.884221,0.827834,1.449939,99512.434249,1.611027,1.656367,247.500000,-64.998571,318.703941,0.000000,0.000000,0.187537
1,2,0,-3.930352,2.271535,0.000000,0.922595,0.708085,1.410724,99528.987245,1.109200,1.574311,247.500000,-69.429429,244.610616,0.000000,0.000000,0.149696
1,2,1,-3.529884,2.295044,0.000000,0.931832,0.137432,2.151316,99592.456812,1.072783,2.151316,270.000000,-67.271385,29.875360,0.000000,0.000000,0.146853
1,2,2,-3.367365,2.085982,0.000000,0.850673,-0.293998,2.813676,99645.362015,0.691995,2.813676,270.000000,-59.768104,56.431544,0.000000,0.000000,0.230616
1,2,3,-5.317100,1.935312,0.000000,0.816677,0.639825,1.874561,99592.619026,0.549522,1.976719,247.500000,-49.868478,73.456974,0.000000,0.000000,0.233690
