year,month,day,hour,min,temp,rh
2018,4,25,16,0,20.13,57.39
2018,4,25,16,30,14.604,75.391
2018,4,25,17,0,14.077,77.855
2018,4,25,17,30,14.029,79.009
2018,4,25,18,0,13.717,78.306
2018,4,25,18,30,13.837,73.77
2018,4,25,19,0,13.813,72.605
2018,4,25,19,30,13.861,72.388
2018,4,25,20,0,13.789,72.6
2018,4,25,20,30,13.765,72.028
2018,4,25,21,0,13.692,72.808
2018,4,25,21,30,13.596,74.033
2018,4,25,22,0,13.404,74.866
2018,4,25,22,30,13.452,75.325
2018,4,25,23,0,13.404,74.697
2018,4,25,23,30,13.284,74.42
2018,4,26,0,0,13.139,73.913
2018,4,26,0,30,13.043,72.652
2018,4,26,1,0,12.995,73.01
2018,4,26,1,30,12.947,73.142
2018,4,26,2,0,12.898,72.482
2018,4,26,2,30,12.85,73.433
2018,4,26,3,0,12.778,73.925
2018,4,26,3,30,12.705,74.107
2018,4,26,4,0,12.585,73.942
2018,4,26,4,30,12.488,73.782
2018,4,26,5,0,12.488,74.204
2018,4,26,5,30,12.367,75.242
2018,4,26,6,0,12.295,74.864
2018,4,26,6,30,12.053,75.513
2018,4,26,7,0,12.174,74.364
2018,4,26,7,30,12.343,73.135
2018,4,26,8,0,12.488,72.43
2018,4,26,8,30,12.681,72.043
2018,4,26,9,0,12.729,70.12
2018,4,26,9,30,13.091,69.845
2018,4,26,10,0,13.212,69.696
2018,4,26,10,30,13.452,67.699
2018,4,26,11,0,13.885,67.749
2018,4,26,11,30,14.22,65.864
2018,4,26,12,0,14.556,63.755
2018,4,26,12,30,14.843,57.129
2018,4,26,13,0,15.13,56.175
2018,4,26,13,30,15.44,54.855
2018,4,26,14,0,15.727,52.786
2018,4,26,14,30,15.989,51.5
2018,4,26,15,0,16.275,49.059
2018,4,26,15,30,16.561,50.123
2018,4,26,16,0,16.775,50.524
2018,4,26,16,30,17.037,50.808
2018,4,26,17,0,17.037,49.533
2018,4,26,17,30,16.99,50.025
2018,4,26,18,0,16.823,54.355
2018,4,26,18,30,16.18,60.465
2018,4,26,19,0,15.965,61.624
2018,4,26,19,30,15.679,63.268
2018,4,26,20,0,15.464,63.764
2018,4,26,20,30,15.297,65.323
2018,4,26,21,0,15.058,66.247
2018,4,26,21,30,14.771,67.04
2018,4,26,22,0,14.388,67.87
2018,4,26,22,30,14.292,68.749
2018,4,26,23,0,13.981,68.806
2018,4,26,23,30,13.476,69.947
2018,4,27,0,0,13.356,69.523
2018,4,27,0,30,12.995,71.651
2018,4,27,1,0,12.416,72.274
2018,4,27,1,30,12.488,71.609
2018,4,27,2,0,12.464,71.718
2018,4,27,2,30,12.077,73.053
2018,4,27,3,0,11.956,73.732
2018,4,27,3,30,12.246,72.58
2018,4,27,4,0,11.834,74.324
2018,4,27,4,30,11.64,76.261
2018,4,27,5,0,11.567,75.691
2018,4,27,5,30,11.495,76.48
2018,4,27,6,0,11.762,74.784
2018,4,27,6,30,11.762,75.898
2018,4,27,7,0,11.81,77.68
2018,4,27,7,30,12.174,77.232
2018,4,27,8,0,12.512,78.794
2018,4,27,8,30,12.971,77.815
2018,4,27,9,0,13.548,78.187
2018,4,27,9,30,13.909,77.736
2018,4,27,10,0,14.364,74.723
2018,4,27,10,30,14.675,72.376
2018,4,27,11,0,14.939,72.114
2018,4,27,11,30,15.273,70.258
2018,4,27,12,0,15.679,69.237
2018,4,27,12,30,16.204,69.364
2018,4,27,13,0,16.68,69.046
2018,4,27,13,30,16.918,68.886
2018,4,27,14,0,17.085,68.568
2018,4,27,14,30,17.347,67.681
2018,4,27,15,0,17.87,65.39
2018,4,27,15,30,17.989,64.908
2018,4,27,16,0,17.941,64.009
2018,4,27,16,30,17.608,59.703
2018,4,27,17,0,17.275,58.926
2018,4,27,17,30,16.18,71.925
2018,4,27,18,0,15.775,72.991
2018,4,27,18,30,15.631,73.105
2018,4,27,19,0,15.584,72.468
2018,4,27,19,30,15.488,72.278
2018,4,27,20,0,15.225,72.74
2018,4,27,20,30,14.867,72.67
2018,4,27,21,0,14.556,73.206
2018,4,27,21,30,14.292,72.841
2018,4,27,22,0,13.813,74.499
2018,4,27,22,30,13.813,74.133
2018,4,27,23,0,13.5,74.211
2018,4,27,23,30,13.091,74.69
2018,4,28,0,0,12.802,75.136
2018,4,28,0,30,12.633,74.961
2018,4,28,1,0,12.512,74.517
2018,4,28,1,30,12.633,74.709
2018,4,28,2,0,12.343,76.213
2018,4,28,2,30,12.585,75.706
2018,4,28,3,0,12.44,77.509
2018,4,28,3,30,12.367,77.328
2018,4,28,4,0,12.488,75.686
2018,4,28,4,30,12.609,73.722
2018,4,28,5,0,12.585,72.901
2018,4,28,5,30,12.44,72.505
2018,4,28,6,0,12.367,71.925
2018,4,28,6,30,12.295,73.322
2018,4,28,7,0,12.222,75.129
2018,4,28,7,30,12.488,73.192
2018,4,28,8,0,12.56,72.303
2018,4,28,8,30,12.898,68.892
2018,4,28,9,0,13.091,68.785
2018,4,28,9,30,13.236,68.409
2018,4,28,10,0,13.476,68.309
2018,4,28,10,30,13.837,67.914
2018,4,28,11,0,14.172,66.758
2018,4,28,11,30,14.58,65.227
2018,4,28,12,0,14.963,64.031
2018,4,28,12,30,15.417,63.549
2018,4,28,13,0,15.942,62.453
2018,4,28,13,30,16.418,61.43
2018,4,28,14,0,16.895,58.564
2018,4,28,14,30,17.228,56.979
2018,4,28,15,0,17.608,53.731
2018,4,28,15,30,17.941,50.869
2018,4,28,16,0,18.203,48.373
2018,4,28,16,30,18.512,47.941
2018,4,28,17,0,18.94,49.379
2018,4,28,17,30,19.154,52.031
2018,4,28,18,0,18.726,53.583
2018,4,28,18,30,18.298,56.501
2018,4,28,19,0,17.894,56.867
2018,4,28,19,30,17.442,58.891
2018,4,28,20,0,16.99,60.776
2018,4,28,20,30,16.585,61.517
2018,4,28,21,0,16.251,62.445
2018,4,28,21,30,15.56,62.537
2018,4,28,22,0,15.273,63.908
2018,4,28,22,30,14.963,63.737
2018,4,28,23,0,14.58,63.642
2018,4,28,23,30,14.196,64.222
2018,4,29,0,0,13.861,64.486
2018,4,29,0,30,13.115,66.742
2018,4,29,1,0,12.922,66.446
2018,4,29,1,30,12.56,66.468
2018,4,29,2,0,12.27,66.56
2018,4,29,2,30,12.028,67.18
2018,4,29,3,0,11.495,68.03
2018,4,29,3,30,10.983,69.93
2018,4,29,4,0,10.813,68.617
2018,4,29,4,30,10.299,70.958
2018,4,29,5,0,10.127,70.332
2018,4,29,5,30,9.759,71.753
2018,4,29,6,0,9.857,72.613
2018,4,29,6,30,9.734,73.147
2018,4,29,7,0,10.029,72.171
2018,4,29,7,30,10.225,74.026
2018,4,29,8,0,10.788,72.938
2018,4,29,8,30,11.47,74.194
2018,4,29,9,0,12.053,74.144
2018,4,29,9,30,12.778,74.515
2018,4,29,10,0,13.717,71.05
2018,4,29,10,30,14.675,64.951
2018,4,29,11,0,15.679,57.71
2018,4,29,11,30,16.418,55.913
2018,4,29,12,0,17.632,51.727
2018,4,29,12,30,18.203,53.446
2018,4,29,13,0,18.679,51.094
2018,4,29,13,30,19.154,46.286
2018,4,29,14,0,19.559,46.051
2018,4,29,14,30,19.963,44.635
2018,4,29,15,0,20.511,43.548
2018,4,29,15,30,20.654,40.339
2018,4,29,16,0,20.964,36.621
2018,4,29,16,30,20.964,36.588
2018,4,29,17,0,20.988,33.889
2018,4,29,17,30,20.892,34.079
2018,4,29,18,0,20.559,37.039
2018,4,29,18,30,20.106,40.344
2018,4,29,19,0,19.559,42.282
2018,4,29,19,30,19.202,46.609
2018,4,29,20,0,18.798,48.167
2018,4,29,20,30,18.322,51.481
2018,4,29,21,0,17.941,54.179
2018,4,29,21,30,17.585,53.912
2018,4,29,22,0,16.99,58.004
2018,4,29,22,30,16.704,58.594
2018,4,29,23,0,16.514,59.017
2018,4,29,23,30,16.275,59.61
2018,4,30,0,0,15.942,61.233
2018,4,30,0,30,15.727,61.823
2018,4,30,1,0,15.512,62.648
2018,4,30,1,30,15.082,64.052
2018,4,30,2,0,14.891,65.105
2018,4,30,2,30,14.699,65.569
2018,4,30,3,0,14.436,67.038
2018,4,30,3,30,14.34,67.079
2018,4,30,4,0,14.244,70.465
2018,4,30,4,30,14.819,70.775
2018,4,30,5,0,15.01,70.697
2018,4,30,5,30,15.01,71.613
2018,4,30,6,0,14.986,72.237
2018,4,30,6,30,15.01,73.04
2018,4,30,7,0,15.13,73.148
2018,4,30,7,30,15.56,71.719
2018,4,30,8,0,15.846,72.748
2018,4,30,8,30,16.656,71.327
2018,4,30,9,0,16.871,69.604
2018,4,30,9,30,17.156,68.114
2018,4,30,10,0,17.561,66.957
2018,4,30,10,30,17.799,66.676
2018,4,30,11,0,18.037,66.276
2018,4,30,11,30,18.251,66.373
2018,4,30,12,0,18.512,66.035
2018,4,30,12,30,18.56,66.664
2018,4,30,13,0,18.702,65.239
2018,4,30,13,30,18.845,64.967
2018,4,30,14,0,18.964,64.333
2018,4,30,14,30,19.107,63.402
2018,4,30,15,0,19.202,64.403
2018,4,30,15,30,19.297,63.314
2018,4,30,16,0,19.25,64.858
2018,4,30,16,30,19.25,64.083
2018,4,30,17,0,19.392,62.49
2018,4,30,17,30,19.44,63.368
2018,4,30,18,0,19.25,65.483
2018,4,30,18,30,18.964,66.055
2018,4,30,19,0,18.726,66.959
2018,4,30,19,30,18.37,68.13
2018,4,30,20,0,17.965,69.663
2018,4,30,20,30,17.727,70.112
2018,4,30,21,0,17.323,71.195
2018,4,30,21,30,17.109,71.096
2018,4,30,22,0,16.823,71.877
2018,4,30,22,30,16.633,71.178
2018,4,30,23,0,16.18,72.011
2018,4,30,23,30,15.918,72.333
2018,5,1,0,0,15.679,72.258
2018,5,1,0,30,15.321,73.044
2018,5,1,1,0,15.225,72.712
2018,5,1,1,30,14.675,73.428
2018,5,1,2,0,14.628,73.787
2018,5,1,2,30,14.532,74.249
2018,5,1,3,0,14.556,74.253
2018,5,1,3,30,14.125,75.49
2018,5,1,4,0,14.22,75.482
2018,5,1,4,30,14.077,74.608
2018,5,1,5,0,13.885,75.188
2018,5,1,5,30,13.668,76.739
2018,5,1,6,0,13.861,77.03
2018,5,1,6,30,13.885,77.592
2018,5,1,7,0,13.933,77.88
2018,5,1,7,30,14.029,77.093
2018,5,1,8,0,14.148,80.112
2018,5,1,8,30,14.628,79.055
2018,5,1,9,0,15.225,79.544
2018,5,1,9,30,15.655,78.662
2018,5,1,10,0,16.251,79.208
2018,5,1,10,30,16.871,76.871
2018,5,1,11,0,17.513,74.733
2018,5,1,11,30,18.084,72.61
2018,5,1,12,0,18.726,66.309
2018,5,1,12,30,20.011,63.194
2018,5,1,13,0,19.725,64.523
2018,5,1,13,30,20.059,64.908
2018,5,1,14,0,20.559,59.015
2018,5,1,14,30,20.916,55.631
2018,5,1,15,0,21.25,58.481
2018,5,1,15,30,21.68,58.394
2018,5,1,16,0,21.943,58.312
2018,5,1,16,30,22.086,58.518
2018,5,1,17,0,22.278,57.655
2018,5,1,17,30,22.23,60.347
2018,5,1,18,0,22.134,60.21
2018,5,1,18,30,21.752,59.844
2018,5,1,19,0,21.298,59.1
2018,5,1,19,30,20.845,59.914
2018,5,1,20,0,20.487,60.283
2018,5,1,20,30,20.106,62.368
2018,5,1,21,0,19.702,62.572
2018,5,1,21,30,19.559,63.328
2018,5,1,22,0,19.273,64.296
2018,5,1,22,30,18.94,65.577
2018,5,1,23,0,18.655,66.178
2018,5,1,23,30,18.441,66.436
2018,5,2,0,0,18.06,67.927
2018,5,2,0,30,17.965,68.115
2018,5,2,1,0,17.608,68.605
2018,5,2,1,30,17.561,68.859
2018,5,2,2,0,17.275,69.709
2018,5,2,2,30,16.966,70.404
2018,5,2,3,0,16.942,70.718
2018,5,2,3,30,16.823,70.464
2018,5,2,4,0,16.799,71.498
2018,5,2,4,30,16.728,71.801
2018,5,2,5,0,16.656,71.845
2018,5,2,5,30,16.514,73.65
2018,5,2,6,0,16.585,72.72
2018,5,2,6,30,16.609,73.326
2018,5,2,7,0,16.656,74.419
2018,5,2,7,30,16.966,74.908
2018,5,2,8,0,17.513,71.664
2018,5,2,8,30,17.799,70.996
2018,5,2,9,0,18.155,68.852
2018,5,2,9,30,18.251,68.225
2018,5,2,10,0,18.322,67.358
2018,5,2,10,30,18.322,65.736
2018,5,2,11,0,18.441,64.689
2018,5,2,11,30,18.631,65.553
2018,5,2,12,0,18.821,67.094
2018,5,2,12,30,18.845,67.805
2018,5,2,13,0,18.821,71.799
2018,5,2,13,30,18.607,74.494
2018,5,2,14,0,18.465,75.723
2018,5,2,14,30,18.346,77.005
2018,5,2,15,0,18.322,78.554
2018,5,2,15,30,18.37,79.324
2018,5,2,16,0,18.417,78.433
2018,5,2,16,30,18.465,80.353
2018,5,2,17,0,18.488,81.475
2018,5,2,17,30,18.56,81.212
2018,5,2,18,0,18.607,82.474
2018,5,2,18,30,18.56,84.81
2018,5,2,19,0,18.679,84.452
2018,5,2,19,30,18.679,85.276
2018,5,2,20,0,18.798,85.166
2018,5,2,20,30,18.774,86.611
2018,5,2,21,0,18.893,86.366
2018,5,2,21,30,18.988,87.696
2018,5,2,22,0,19.154,87.409
2018,5,2,22,30,19.226,88.404
2018,5,2,23,0,19.226,88.513
2018,5,2,23,30,19.297,89.126
2018,5,3,0,0,19.297,88.882
2018,5,3,0,30,19.297,89.612
2018,5,3,1,0,19.392,90.228
2018,5,3,1,30,19.416,89.749
2018,5,3,2,0,19.392,89.851
2018,5,3,2,30,19.392,89.365
2018,5,3,3,0,19.392,89.635
2018,5,3,3,30,19.368,89.413
2018,5,3,4,0,19.368,88.791
2018,5,3,4,30,19.25,88.573
2018,5,3,5,0,19.202,87.72
2018,5,3,5,30,19.131,87.267
2018,5,3,6,0,19.035,87.572
2018,5,3,6,30,18.988,87.642
2018,5,3,7,0,18.821,90.035
2018,5,3,7,30,18.631,89.046
2018,5,3,8,0,18.726,85.862
2018,5,3,8,30,18.869,84.66
2018,5,3,9,0,18.917,82.986
2018,5,3,9,30,19.059,79.302
2018,5,3,10,0,18.322,77.34
2018,5,3,10,30,18.06,75.584
2018,5,3,11,0,17.68,75.165
2018,5,3,11,30,17.608,75.094
2018,5,3,12,0,17.133,74.713
2018,5,3,12,30,16.99,73.63
2018,5,3,13,0,16.966,72.565
2018,5,3,13,30,16.871,71.886
2018,5,3,14,0,17.085,70.803
2018,5,3,14,30,17.371,71.03
2018,5,3,15,0,17.608,69.189
2018,5,3,15,30,17.608,69.509
2018,5,3,16,0,17.537,68.738
2018,5,3,16,30,17.489,69.079
2018,5,3,17,0,17.394,68.77
2018,5,3,17,30,17.204,68.677
2018,5,3,18,0,16.823,68.578
2018,5,3,18,30,16.775,68.015
2018,5,3,19,0,16.537,67.563
2018,5,3,19,30,16.49,69.098
2018,5,3,20,0,16.251,70.009
2018,5,3,20,30,16.013,70.225
2018,5,3,21,0,15.87,70.831
2018,5,3,21,30,15.631,71.475
2018,5,3,22,0,15.417,71.635
2018,5,3,22,30,15.058,71.365
2018,5,3,23,0,14.819,71.462
