ì˙ït,ãCâ∑,ëäëŒéºìx,ãCà≥,ç~êÖó ,ç~ê·ó ,ïóë¨,ïóå¸,ëSìVì˙éÀó ,ëÂãCìßâﬂó¶,â_ó 
y/m/d HH:MM,Åé,%,Pa,mm,mm,m/s,-,W/m2,-,-
date,temp,rh,p_atm,Jp,Js,WS,WD,Qs,tau,cloudiness
2012/1/4 8:00,3.6,50,,0,,5,êº,,0.779974765,
2012/1/4 9:00,4.6,44,,0,,5.5,êºìÏêº,,0.779474889,
2012/1/4 10:00,5.9,35,,0,,5.4,êº,,0.557870808,
2012/1/4 11:00,5.3,50,,0,,7,êº,,0.407476636,
2012/1/4 12:00,5.1,53,,0,,6,êº,,0.527081262,
2012/1/4 13:00,4.5,61,,0,,8.3,êº,,0.510355998,
2012/1/4 14:00,3.5,56,,0,,6.4,êº,,0.320681282,
2012/1/4 15:00,4.8,48,,0,,10.1,êºñkêº,,0.293562426,
2012/1/4 16:00,3.9,50,,0,,4.5,êºñkêº,,0.395950593,
2012/1/4 17:00,3.8,49,,0,,3.1,ñkêº,,1.00E-50,
2012/1/4 18:00,3.4,51,,0,,3.5,ñkêº,,1.00E-50,
2012/1/4 19:00,3.1,50,,0,,1.9,êº,,1.00E-50,
2012/1/4 20:00,3.1,47,,0,,3.6,êºñkêº,,1.00E-50,
2012/1/4 21:00,3.2,45,,0,,3,êºñkêº,,1.00E-50,
2012/1/4 22:00,1.8,57,,0,,3.4,ñkêº,,1.00E-50,
2012/1/4 23:00,1.8,56,,0,,4,êºñkêº,,1.00E-50,
2012/1/5 0:00,1.5,56,,0,,2.9,êºñkêº,,1.00E-50,
2012/1/5 1:00,3.7,40,,0,,3.5,êºìÏêº,,1.00E-50,
2012/1/5 2:00,4,39,,0,,4.4,êº,,1.00E-50,
2012/1/5 3:00,2,53,,0,,3,êº,,1.00E-50,
2012/1/5 4:00,1.8,54,,0,,3.8,êºñkêº,,1.00E-50,
2012/1/5 5:00,2.1,49,,0,,4,êº,,1.00E-50,
2012/1/5 6:00,2.9,48,,0,,2.5,êº,,1.00E-50,
2012/1/5 7:00,2.9,48,,0,,2.4,êº,,0.834014304,
2012/1/5 8:00,2.6,52,,0,,1.4,ñkñkêº,,0.810054802,
2012/1/5 9:00,5,44,,0,,5.1,êº,,0.795445808,
2012/1/5 10:00,6.2,37,,0,,4.1,êºñkêº,,0.782573354,
2012/1/5 11:00,6.9,35,,0,,2.9,êºìÏêº,,0.771682932,
2012/1/5 12:00,8.2,35,,0,,2.1,ñkñkêº,,0.767558973,
2012/1/5 13:00,8.1,33,,0,,2.7,ñkêº,,0.775222872,
2012/1/5 14:00,7.9,35,,0,,3.1,ñkêº,,0.782117017,
2012/1/5 15:00,7.9,35,,0,,2.8,ñkñkêº,,0.806335843,
2012/1/5 16:00,7.5,39,,0,,2.1,ñkêº,,0.864061138,
2012/1/5 17:00,6.8,42,,0,,2.7,ñkêº,,1.00E-50,
