period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto
0.1,0.0003993310774823,0.0004004301889879,0.0012486988321678
0.2,0.0010745031924651,0.0010866621666061,0.0029286024115155
0.5,0.0093915225714965,0.0094572034174378,0.0157525497187582
1.0,0.0238925221043183,0.0239732503730215,0.0586556737787607
2.0,0.0635260283909952,0.063372729338909,0.1326367284850031
7.0,0.1300089673355806,0.1300281012634399,0.2160330917228051
14.0,0.1523681062447001,0.1521989959277194,0.4987744980915016
30.0,0.139576086346445,0.1392877697126098,0.9599676026514942
90.0,1.695057900671664,1.695165852068919,3.0132063783371916
365.0,,,
