period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto
0.1,2.0529467336835876,2.0799267750851222,2.9417099221335983
0.2,1.819458086178236,1.8231533291220827,2.721563599282809
0.5,1.5945978027694676,1.6320610863603155,3.016564012815229
1.0,1.6761493444749318,1.6534622857104817,-1.072896966510831
2.0,1.493959548484626,1.513847278382477,1.974183954888043
7.0,1.6941274381716536,1.440707594173331,2.4657236236718076
14.0,1.99518304324464,1.87994916984862,2.7871102177930087
30.0,1.6327980919495853,1.4035781045321394,2.0258689909567265
90.0,2.604296340262903,2.2554190913158583,-1.532649163165235
365.0,,,
