period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto
0.1,0.0015326224592912,0.0015326224592912,0.0031872335504045
0.2,0.0057438151830808,0.0057438151830808,0.0112003193093047
0.5,0.0271374388562577,0.0271374388562577,0.0524157513367872
1.0,0.0447684176644155,0.0447684176644155,0.114618629530262
2.0,0.0731075316819127,0.0731075316819127,0.1504845191924598
7.0,0.1323742634801307,0.1323742634801307,0.2242409853923673
14.0,0.1530237789216542,0.1530237789216542,0.5000803254553635
30.0,0.1393726685817228,0.1393726685817228,0.9625333423988984
90.0,1.6974155046568506,1.6974155046568506,3.019387533836958
365.0,,,
