period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto
0.1,0.0001269871649236,0.0001269871649236,0.0002268744082671
0.2,0.0004062813058994,0.0004062813058994,0.0007723443167322
0.5,0.0014473399486979,0.0014473399486979,0.0027689499933989
1.0,0.0025851145499707,0.0025851145499707,0.0060581605963501
2.0,0.0038299333878794,0.0038299333878794,0.006887146530288
7.0,0.0056404707326854,0.0056404707326854,0.0088876797382103
14.0,0.0048598439929153,0.0048598439929153,0.0110606297676095
30.0,0.0053189333936047,0.0053189333936047,0.0080629512368003
90.0,0.0118194700411191,0.0118194700411191,0.0145705054480473
365.0,,,
