period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto
0.1,0.6621828821834773,0.6621828821834773,-2.217016081702825
0.2,2.861921729700064,2.861921729700064,-2.76239237643562
0.5,-0.9455461111525888,-0.9455461111525888,-2.593821305787021
1.0,-1.4210189391537318,-1.4210189391537318,0.0444497832154323
2.0,0.7602451875979767,0.7602451875979767,-2.4099097539061094
7.0,-3.138743217431172,-3.138743217431172,-2.690085273506602
14.0,-2.6280766483534355,-2.6280766483534355,-2.2333947165173473
30.0,0.5049161074004676,0.5049161074004676,1.6893709787267066
90.0,-1.0320943468017278,-1.0320943468017278,-1.187461492617112
365.0,,,
