period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto
0.1,-0.6327524089341104,-0.6364944858893609,1.109168499394281
0.2,-1.0266489257668987,-1.0307227289174714,1.3182491400387504
0.5,-0.691272656028667,-0.6967700804473416,0.6715618241536728
1.0,-1.167674490181404,-1.1523865113305023,1.5332687151297162
2.0,-0.8321597074846823,-0.8333910175025397,1.5260199092596711
7.0,-0.8795349301659748,-0.8827226991688395,-0.0587058132101149
14.0,-1.9582473931268851,-1.9304419612236243,1.3505960360215392
30.0,3.0652343034826823,3.01765093972193,1.45802442281806
90.0,2.863715218652969,2.863867707916918,1.2474360466933585
365.0,,,
