period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto
0.1,-2.7924400403208276,-2.7924400403208276,1.6349256105150043
0.2,0.2114571999515443,0.2114571999515443,1.5433086625485857
0.5,2.600908329258184,2.600908329258184,0.9390283456641612
1.0,1.7295640979762674,1.7295640979762674,2.3950493003379325
2.0,-0.3030192674761437,-0.3030192674761437,1.767684251191053
7.0,-0.6578515427925341,-0.6578515427925341,0.1293174788473762
14.0,-1.8717308860836812,-1.8717308860836812,1.4266622504875566
30.0,2.9810217701221267,2.9810217701221267,1.4851118175007132
90.0,2.875208264949536,2.875208264949536,1.2590227076106826
365.0,,,
