period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto
0.1,5.125557687870091e-06,4.559080985193275e-06,1.1046809662296808e-05
0.2,1.090419260088404e-05,8.529464475543338e-06,3.696913126141878e-05
0.5,2.81865519826971e-05,2.2080830710545527e-05,0.0001239302722512
1.0,6.53115514227579e-05,4.418294071937213e-05,0.0003535120356878
2.0,0.0002800263351819,0.0001395330668637,0.0014588728339281
7.0,0.0010487033178825,0.0004208898995834,0.0040478327666395
14.0,0.0013137146393438,0.0006509015413429,0.0069583575264745
30.0,0.0030957742205236,0.0016285513661983,0.0080482359892974
90.0,0.0104454679400607,0.0078226597878635,0.0153116478636814
365.0,,,
