“úŽž,‹C‰·,‘Š‘ÎŽ¼“x,‹Cˆ³,~…—Ê,~á—Ê,•—‘¬,•—Œü,‘S“V“úŽË—Ê,‘å‹C“§‰ß—¦,‰_—Ê
y/m/d HH:MM,Ž,%,Pa,mm,mm,m/s,-,W/m2,-,-
date,temp,rh,p_atm,Jp,Js,WS,WD,Qs,tau,cloudiness
2020/1/1 0:00,16.4,70,,0.1,,2.7,–k,,1.0e-50,
2020/1/1 1:00,16.1,70,,0.0,,3.0,–k,,1.0e-50,
2020/1/1 2:00,16.0,67,,0.0,,3.7,–k,,1.0e-50,
2020/1/1 3:00,15.6,67,,0.0,,3.6,–k–k¼,,1.0e-50,
2020/1/1 4:00,15.3,66,,0.0,,3.9,–k,,1.0e-50,
2020/1/1 5:00,15.0,65,,0.0,,4.2,–k,,1.0e-50,
2020/1/1 6:00,14.7,66,,0.0,,3.6,–k,,1.0e-50,
2020/1/1 7:00,14.8,66,,0.0,,3.4,–k–k“Œ,,1.0e-50,
2020/1/1 8:00,14.9,66,,0.0,,3.1,–k–k“Œ,,0.01,
2020/1/1 9:00,15.9,62,,0.0,,3.3,–k–k“Œ,,0.01,
2020/1/1 10:00,16.4,59,,0.0,,3.5,–k–k“Œ,,0.01,
2020/1/1 11:00,16.8,57,,0.0,,3.3,–k–k“Œ,,0.01,
2020/1/1 12:00,17.6,54,,0.0,,2.1,–k–k“Œ,,0.01,
2020/1/1 13:00,17.9,53,,0.0,,2.1,–k,,0.01,
2020/1/1 14:00,18.0,53,,0.0,,2.7,–k,,0.01,
2020/1/1 15:00,18.2,51,,0.0,,2.6,–k–k“Œ,,0.01,
2020/1/1 16:00,18.2,53,,0.0,,3.2,–k–k“Œ,,0.01,
2020/1/1 17:00,17.8,56,,0.0,,3.8,–k–k“Œ,,0.01,
2020/1/1 18:00,17.6,56,,0.0,,3.0,–k“Œ,,0.01,
2020/1/1 19:00,17.2,60,,0.0,,3.7,–k–k“Œ,,1.0e-50,
2020/1/1 20:00,16.9,61,,0.0,,4.1,–k“Œ,,1.0e-50,
2020/1/1 21:00,16.7,65,,0.0,,3.8,“Œ–k“Œ,,1.0e-50,
2020/1/1 22:00,17.0,67,,0.0,,3.5,“Œ–k“Œ,,1.0e-50,
2020/1/1 23:00,17.3,67,,0.0,,3.2,–k“Œ,,1.0e-50,
2020/1/2 0:00,17.0,67,,0.0,,3.7,–k“Œ,,1.0e-50,
2020/1/2 1:00,17.2,67,,0.0,,3.4,–k“Œ,,1.0e-50,
2020/1/2 2:00,17.4,67,,0.0,,3.1,–k“Œ,,1.0e-50,
2020/1/2 3:00,17.7,68,,0.0,,2.8,“Œ–k“Œ,,1.0e-50,
2020/1/2 4:00,18.0,66,,0.0,,3.0,“Œ–k“Œ,,1.0e-50,
2020/1/2 5:00,18.1,66,,0.0,,2.8,“Œ–k“Œ,,1.0e-50,
2020/1/2 6:00,18.2,65,,0.0,,3.0,“Œ–k“Œ,,1.0e-50,
2020/1/2 7:00,18.3,66,,0.0,,2.8,“Œ–k“Œ,,1.0e-50,
2020/1/2 8:00,18.5,67,,0.0,,2.6,“Œ–k“Œ,,0.01,
2020/1/2 9:00,19.4,64,,0.0,,3.0,“Œ,,0.01,
2020/1/2 10:00,20.3,60,,0.0,,3.2,“Œ,,0.01,
2020/1/2 11:00,20.7,58,,0.0,,2.8,“Œ,,0.01,
2020/1/2 12:00,21.5,53,,0.0,,3.4,“Œ,,0.01,
2020/1/2 13:00,21.7,53,,0.0,,3.3,“Œ,,0.01,
2020/1/2 14:00,21.9,54,,0.0,,2.8,“Œ,,0.01,
2020/1/2 15:00,21.9,54,,0.0,,2.9,“Œ,,0.01,
2020/1/2 16:00,21.8,56,,0.0,,3.3,“Œ,,0.01,
2020/1/2 17:00,21.4,60,,0.0,,2.9,“Œ,,0.01,
2020/1/2 18:00,20.7,63,,0.0,,3.1,“Œ,,0.01,
2020/1/2 19:00,20.6,65,,0.0,,2.5,“Œ–k“Œ,,1.0e-50,
2020/1/2 20:00,20.5,66,,0.0,,2.7,“Œ–k“Œ,,1.0e-50,
2020/1/2 21:00,20.7,66,,0.0,,2.7,“Œ,,1.0e-50,
2020/1/2 22:00,20.7,67,,0.0,,3.0,“Œ,,1.0e-50,
2020/1/2 23:00,20.7,68,,0.0,,2.8,“Œ,,1.0e-50,
2020/1/3 0:00,20.9,69,,0.0,,3.5,“Œ,,1.0e-50,
2020/1/3 1:00,20.9,70,,0.0,,3.0,“Œ–k“Œ,,1.0e-50,
2020/1/3 2:00,20.8,72,,0.0,,2.5,“Œ–k“Œ,,1.0e-50,
2020/1/3 3:00,20.3,75,,0.0,,3.9,–k“Œ,,1.0e-50,
2020/1/3 4:00,19.5,81,,0.1,,5.9,–k“Œ,,1.0e-50,
2020/1/3 5:00,19.0,74,,0.3,,7.1,–k“Œ,,1.0e-50,
2020/1/3 6:00,18.8,76,,0.4,,7.5,–k–k“Œ,,1.0e-50,
2020/1/3 7:00,18.4,77,,0.2,,7.7,–k–k“Œ,,1.0e-50,
2020/1/3 8:00,18.3,75,,0.0,,7.1,–k–k“Œ,,0.01,
2020/1/3 9:00,18.8,72,,0.0,,8.0,–k–k“Œ,,0.01,
