ì˙éû,ãCâ∑,ëäëŒéºìx,ãCà≥,ç~êÖó ,ç~ê·ó ,ïóë¨,ïóå¸,ëSìVì˙éÀó ,ëÂãCìßâﬂó¶,â_ó 
y/m/d HH:MM,Åé,%,Pa,mm,mm,m/s,-,W/m2,-,-
date,temp,rh,p_atm,Jp,Js,WS,WD,Qs,tau,cloudiness
2022/1/4 0:00,4.4,77,,0.0,,0.2,êºìÏêº,,1.0e-50,
2022/1/4 1:00,4.0,78,,0.0,,0.1,ìÏìå,,1.0e-50,
2022/1/4 2:00,4.1,77,,0.0,,0.8,ìÏ,,1.0e-50,
2022/1/4 3:00,3.6,79,,0.0,,0.6,êºìÏêº,,1.0e-50,
2022/1/4 4:00,3.6,79,,0.0,,0.8,ìÏêº,,1.0e-50,
2022/1/4 5:00,3.1,82,,0.0,,0.4,ìÏìÏêº,,1.0e-50,
2022/1/4 6:00,3.2,83,,0.0,,0.6,ìÏêº,,1.0e-50,
2022/1/4 7:00,2.8,87,,0.0,,0.4,ñkêº,,1.0e-50,
2022/1/4 8:00,3.5,84,,0.0,,0.6,êºìÏêº,,0.01,
2022/1/4 9:00,5.1,78,,0.0,,0.7,êº,,0.01,
2022/1/4 10:00,7.0,70,,0.0,,1.2,êº,,0.01,
2022/1/4 11:00,8.5,66,,0.0,,1.5,ñkñkêº,,0.01,
2022/1/4 12:00,8.6,65,,0.0,,2.2,ñkñkêº,,0.01,
2022/1/4 13:00,8.9,57,,0.0,,3.4,ñkñkêº,,0.01,
2022/1/4 14:00,8.4,54,,0.0,,4.0,ñk,,0.01,
2022/1/4 15:00,7.7,53,,0.0,,3.8,ñk,,0.01,
2022/1/4 16:00,6.8,55,,0.0,,3.8,ñk,,0.01,
2022/1/4 17:00,5.7,58,,0.0,,2.9,ñk,,0.01,
2022/1/4 18:00,5.1,60,,0.0,,1.9,ñk,,1.0e-50,
2022/1/4 19:00,4.6,61,,0.0,,1.5,ñkñkìå,,1.0e-50,
2022/1/4 20:00,4.0,62,,0.0,,1.0,ñkñkìå,,1.0e-50,
2022/1/4 21:00,3.5,64,,0.0,,1.1,ñk,,1.0e-50,
2022/1/4 22:00,3.1,64,,0.0,,1.1,ñkñkìå,,1.0e-50,
2022/1/4 23:00,2.7,64,,0.0,,0.9,ñkñkìå,,1.0e-50,
2022/1/5 0:00,2.2,66,,0.0,,0.7,ñkñkêº,,1.0e-50,
2022/1/5 1:00,2.0,66,,0.0,,0.7,ñk,,1.0e-50,
2022/1/5 2:00,1.4,68,,0.0,,0.7,ñkñkêº,,1.0e-50,
2022/1/5 3:00,0.9,69,,0.0,,1.1,ñkñkêº,,1.0e-50,
2022/1/5 4:00,0.7,69,,0.0,,1.2,ñk,,1.0e-50,
2022/1/5 5:00,0.5,70,,0.0,,1.2,ñk,,1.0e-50,
2022/1/5 6:00,0.2,73,,0.0,,1.1,ñk,,1.0e-50,
2022/1/5 7:00,-0.4,78,,0.0,,0.9,ñk,,1.0e-50,
2022/1/5 8:00,0.0,77,,0.0,,0.7,ñkñkìå,,0.01,
2022/1/5 9:00,1.7,66,,0.0,,0.4,ñkñkêº,,0.01,
