åé,ì˙,éû,ãCâ∑,ê‚ëŒéºìx,êÑíËì˙éÀó ,â∫å¸Ç´ëÂãCï˙éÀ,ìÏñkïó,ìåêºïó,ãCà≥,ç~êÖó ,ïóë¨,ïóå¸,ëæózçÇìx,ëæózï˚à ,ñ@ê¸ñ íºíBì˙éÀó ,êÖïΩñ ìVãÛì˙éÀó ,ñÈä‘ï˙éÀ
1,1,0,16.364699,8.101993,0.000000,1.262330,-2.713310,-0.231825,101746.310526,0.066619,2.713310,0.000000,-74.776061,279.458635,0.000000,0.000000,0.171953
1,1,1,16.136658,7.933324,0.000000,1.257987,-2.986695,0.302100,101790.892567,0.002646,2.986695,360.000000,-85.019390,203.874141,0.000000,0.000000,0.171757
1,1,2,16.000164,7.562755,0.000000,1.260687,-3.664288,0.586702,101751.181238,0.011167,3.664288,360.000000,-77.174968,76.909488,0.000000,0.000000,0.166410
1,1,3,15.590553,7.293151,0.000000,1.221136,-3.548695,0.765309,101744.951910,0.009574,3.571437,337.500000,-63.842838,89.037259,0.000000,0.000000,0.197918
1,1,4,15.278975,7.122614,0.000000,1.188341,-3.945087,0.195485,101744.752827,0.001783,3.945087,360.000000,-50.414350,95.029502,0.000000,0.000000,0.224531
1,1,5,15.001598,6.884929,0.000000,1.182583,-4.151254,-0.144465,101726.980879,0.000334,4.151254,0.000000,-37.088755,100.015740,0.000000,0.000000,0.224766
1,1,6,14.712146,6.796863,0.000000,1.172482,-3.621124,-0.525225,101822.260827,0.000000,3.621124,0.000000,-23.963358,104.963652,0.000000,0.000000,0.229117
1,1,7,14.772043,6.814350,0.000000,1.171306,-3.280523,-0.883255,101942.545861,0.000000,3.368815,22.500000,-11.146817,110.345768,0.000000,0.000000,0.231460
1,1,8,14.923939,6.929273,0.075291,1.161422,-2.924466,-1.087862,102001.995651,0.000000,3.118161,22.500000,1.193695,116.559281,0.000000,0.075291,0.244307
1,1,9,15.911825,6.951108,0.566562,1.171546,-3.250281,-0.736296,102050.289038,0.000000,3.284637,22.500000,12.808040,124.084392,1.429382,0.249689,0.253565
1,1,10,16.377205,6.821644,1.120002,1.184132,-3.347815,-0.973093,102083.889129,0.000000,3.465364,22.500000,23.297404,133.538098,1.555005,0.504992,0.250178
1,1,11,16.764550,6.758767,1.794062,1.175462,-3.159988,-0.980798,102039.094167,0.000000,3.294783,22.500000,32.033681,145.624167,2.432454,0.503846,0.266540
1,1,12,17.564498,6.706261,2.158519,1.155997,-2.018511,-0.718973,101896.411679,0.000000,2.140000,22.500000,38.119052,160.766778,2.748852,0.461659,0.301985
1,1,13,17.875574,6.692919,2.265452,1.144908,-2.126187,-0.095671,101898.390557,0.000000,2.126187,0.000000,40.574107,178.300489,2.563820,0.597864,0.319325
1,1,14,17.959000,6.763485,2.107027,1.150060,-2.712914,0.411901,101855.671010,0.000000,2.712914,360.000000,38.882609,196.077111,2.328967,0.645071,0.315853
1,1,15,18.228068,6.628345,1.735280,1.154683,-2.406361,-0.954101,101697.020558,0.000000,2.588306,22.500000,33.408909,211.766866,1.922167,0.676915,0.316657
1,1,16,18.226110,6.797005,1.135153,1.160283,-3.195097,-0.681273,101871.293975,0.000000,3.212597,22.500000,25.094557,224.414226,1.246130,0.606653,0.311018
1,1,17,17.848844,7.008848,0.618689,1.169536,-3.673764,-0.992088,101927.968821,0.000000,3.773771,22.500000,14.878150,234.309022,0.973192,0.368809,0.294159
