  , room1 , room1 , room1 , wall1_IP , wall1_IP , wall1_IP , wall1_IP , wall1_IP , wall1_IP , room2 , room2 , room2 , opening1 , opening1 , Heat source , Moisture source , 
  , temp , rh , ah , temp , rh , ah , Hw , Jwv , Jwl , temp , rh , ah , Hv , Jv , Hin , Jin , 
2022/09/25 06:00,15.70666666666665,0.8491494774912633,0.009443899975315341,16.712604593673007,0.7768009259520298,0.009208432348789274,2353.894749194876,-0.0004020880684354716,-0.0,17.490278810352947,0.6713597634452276,0.008349039322914583,-14.279161680003199,-2.8031818920838398e-5,0.0,0.0,
2022/09/25 06:10,15.685000000000002,0.8514938017749764,0.009457035985003852,16.69575983729385,0.7791422249810247,0.009226570065779722,2365.1780192676015,-0.0003935275828320493,-0.0,17.460661727740387,0.6717131311591363,0.00833766977404499,-14.598762929661461,-2.8626177303947776e-5,0.0,0.0,
2022/09/25 06:20,15.66833333333335,0.8531561416143497,0.009465514079164064,16.675600164478283,0.7813829929396219,0.009241474690253748,2357.0043848791406,-0.00038253991761928355,-0.0,17.432065477805168,0.6719993082004996,0.00832601061855595,-14.861392738217546,-2.9110439862208774e-5,0.0,0.0,
2022/09/25 06:30,15.651666666666642,0.8548211804671408,0.009473992400985202,16.654428133664624,0.7835482495317151,0.009254814847445723,2346.461832775276,-0.00037422555978203545,-0.0,17.404338996244803,0.6722873493969165,0.008314849615830568,-15.117528612559,-2.958327764992385e-5,0.0,0.0,
2022/09/25 06:40,15.634999999999991,0.8564889226669581,0.00948247095047643,16.63281628205118,0.7856525101469222,0.009267107378147461,2334.8900999997836,-0.00036770143946765233,-0.0,17.377409357612294,0.672578614403652,0.008304163266430516,-15.367477032250463,-3.004520589555706e-5,0.0,0.0,
2022/09/25 06:50,15.61833333333334,0.8581593725546022,0.009490949727646922,16.611031272799437,0.7877059059786339,0.009278634933397506,2322.913178350668,-0.0003624846155100315,-0.0,17.351163064800858,0.6728728854628251,0.008293886934501348,-15.612080977576625,-3.049771271786784e-5,0.0,0.0,
2022/09/25 07:00,15.601666666666688,0.8598325344780683,0.009499428732505848,16.589218458368578,0.7897159920890064,0.009289576998711416,2310.871192582422,-0.00035826841694493893,-0.0,17.325481175127948,0.6731700977621391,0.008283955333016551,-15.852191921405392,-3.0942299345210894e-5,0.0,0.0,
2022/09/25 07:10,15.615000000000009,0.8600019792702925,0.009509577037585744,16.57265904729786,0.791688170385287,0.009303171908128637,2240.922170676974,-0.00035237096624198244,-0.0,17.301038917414758,0.6734547880092363,0.008274532969239197,-16.107432388934285,-3.139209484592719e-5,0.0,0.0,
2022/09/25 07:20,15.63166666666666,0.8600033564578559,0.009519911127848796,16.559749673373233,0.7936061616793914,0.009318277494100064,2171.7142356933787,-0.0003442112892456987,-0.0,17.277235031287546,0.6737289618887837,0.008265325023089909,-16.362299432405052,-3.183898698348457e-5,0.0,0.0,
2022/09/25 07:30,15.648333333333312,0.8600038703908046,0.009530245556333698,16.548461482911648,0.7954638578334512,0.009333611008816169,2106.299870013306,-0.00033566364114646804,-0.0,17.253796739399945,0.6740058991669651,0.008256351572050125,-16.614112604087495,-3.2280441799863386e-5,0.0,0.0,
2022/09/25 07:40,15.66500000000002,0.8600035231447185,0.009540580323057058,16.538354771692354,0.7972614398340099,0.00934891570801835,2043.6501657600616,-0.00032716646714833823,-0.0,17.23069440468595,0.6742863909224597,0.008247606058052324,-16.862957434449527,-3.271659630176506e-5,0.0,0.0,
2022/09/25 07:50,15.681666666666672,0.8600023167910474,0.009550915428035479,16.529223775805804,0.7990007191403593,0.009364093699479577,1983.283635385568,-0.00031888690213023027,-0.0,17.207943736763127,0.6745706178319385,0.0082390983472001,-17.108705250085222,-3.314721933339853e-5,0.0,0.0,
