セル番号,セル幅,材料名称,温度,相対湿度,含水率,水分化学ポテンシャル
-,-,-,℃,%,kg/kg,J/kg
i,dx,material_name,temp,rh,phi,miu
1,0.001,mud_wall,20,60,,
2,0.002,mud_wall,20,60,,
3,0.002,mud_wall,20,60,,
4,0.002,mud_wall,20,60,,
5,0.002,mud_wall,20,60,,
6,0.002,mud_wall,20,60,,
7,0.002,mud_wall,20,60,,
8,0.002,mud_wall,20,60,,
9,0.002,mud_wall,20,60,,
10,0.002,mud_wall,20,60,,
11,0.002,mud_wall,20,60,,
12,0.002,mud_wall,20,60,,
13,0.002,mud_wall,20,60,,
14,0.002,mud_wall,20,60,,
15,0.002,mud_wall,20,60,,
16,0.002,mud_wall,20,60,,
17,0.002,mud_wall,20,60,,
18,0.002,mud_wall,20,60,,
19,0.002,mud_wall,20,60,,
20,0.002,mud_wall,20,60,,
21,0.002,mud_wall,20,60,,
22,0.002,mud_wall,20,60,,
23,0.002,mud_wall,20,60,,
24,0.002,mud_wall,20,60,,
25,0.002,mud_wall,20,60,,
26,0.002,mud_wall,20,60,,
27,0.002,mud_wall,20,60,,
28,0.002,mud_wall,20,60,,
29,0.002,mud_wall,20,60,,
30,0.002,mud_wall,20,60,,
31,0.001,mud_wall,20,60,,
