Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.4914312828183617e-07,-0.6505661892361336
5.787037037037037e-05,0.2,4.3976428089205484e-07,-0.9746254874812575
2.3148148148148147e-05,0.5,4.009756163296638e-06,-0.6616664200690064
1.1574074074074073e-05,1.0,8.987440430977327e-06,-0.13018899669072856
5.787037037037037e-06,2.0,2.348170793845929e-05,-1.9468781978637206
1.6534391534391535e-06,7.0,5.6211866672375556e-05,0.8257479405782141
8.267195767195768e-07,14.0,5.150482879299027e-05,2.9563602084720637
3.8580246913580245e-07,30.0,5.587328271471482e-05,-0.5131516900652432
1.286008230452675e-07,90.0,0.000644086700278433,-2.460032593841108
3.1709791983764586e-08,365.0,,
