period_days,w01_o01_kyoto,w01_o01_okinawa,w01_o01_sapporo,w01_o02_kyoto,w01_o02_okinawa,w01_o02_sapporo,w01_o03_kyoto,w01_o03_okinawa,w01_o03_sapporo,w01_o04_kyoto,w01_o04_okinawa,w01_o04_sapporo,w01_o05_kyoto,w01_o05_okinawa,w01_o05_sapporo,w02_o01_kyoto,w02_o01_okinawa,w02_o01_sapporo,w02_o02_kyoto,w02_o02_okinawa,w02_o02_sapporo,w02_o03_kyoto,w02_o03_okinawa,w02_o03_sapporo,w02_o04_kyoto,w02_o04_okinawa,w02_o04_sapporo,w02_o05_kyoto,w02_o05_okinawa,w02_o05_sapporo,w04_o01_kyoto,w04_o01_okinawa,w04_o01_sapporo,w04_o02_kyoto,w04_o02_okinawa,w04_o02_sapporo,w04_o03_kyoto,w04_o03_okinawa,w04_o03_sapporo,w04_o04_kyoto,w04_o04_okinawa,w04_o04_sapporo,w04_o05_kyoto,w04_o05_sapporo,w05_o01_kyoto,w05_o01_okinawa,w05_o01_sapporo,w05_o02_kyoto,w05_o02_okinawa,w05_o02_sapporo,w05_o03_kyoto,w05_o03_okinawa,w05_o03_sapporo,w05_o04_kyoto,w05_o04_okinawa,w05_o04_sapporo,w05_o05_kyoto,w05_o05_okinawa,w05_o05_sapporo
0.1,0.7345256405817493,1.464176774641729,-0.4108419267009212,0.659140874788712,1.456703963758985,-0.4765152650117975,0.7133054989611716,1.4892370154203791,-0.3733846796243612,0.5173425755370616,1.338346707504739,-0.6505661892361336,0.6975358916470468,1.479074407342814,-0.3906349263826258,-0.6303447061992395,1.4999049182513593,-1.0148048171302362,-0.8962821496574274,1.4011694934218797,-1.154178791406571,0.2839417097343248,1.6731622247284923,-0.6141043541949855,-1.1128653673488362,0.2148801088486644,-1.242219592799063,-0.2182449640759286,1.565725710710167,-0.8574031052531292,-0.9002640237589691,1.5806520369281567,-1.1491294602765707,-1.018684430557072,1.503477918655195,-1.208386434521847,-0.4169009559102458,1.7171902851935343,-0.9618505985432872,-1.1600714327192343,0.2703488339956725,-1.2587326845873414,-0.7172340963399721,-1.0796802828880865,-0.6303037600382662,1.5992454193246428,-1.1927260284142842,-0.445771613716321,1.573732726658168,-1.2272692645236656,-0.6072350780215255,1.6906629964852449,-1.0656022421785614,-0.1674226916151618,1.5629577202207232,-1.2443880705373385,-0.6539337108852774,1.634430199523166,-1.1471759719414936
0.2,1.147999116696826,1.6128651631678024,-0.7249396578891233,1.0336230160121058,1.602246754991737,-0.7917202344730384,1.1829139319252535,1.626883863197338,-0.675541792217136,0.9243627804776992,1.5331077803288111,-0.9746254874812575,1.139190005331614,1.602847741912306,-0.7002238307045536,-0.7411730237701275,1.6322161511286042,-1.1323418526860398,-1.023987873185091,1.5222531184619423,-1.249169545865023,0.6047235552269958,1.8794228499992844,-0.8626028190169399,-1.2515483858017535,0.8799921836598538,-1.3275246187461385,-0.2200513335777497,1.7434542546341312,-1.014044249502568,-1.1667553570691118,1.6642816333584287,-1.3023198322085672,-1.2799986781895425,1.5720765243553974,-1.3987993167872896,-0.7632825746265669,1.9327564647416051,-1.0071265829263862,-1.3759787152883698,0.6225824838267432,-1.4476688711728474,-1.0218168872378062,-1.18830182671603,-0.9523635576342532,1.681316555759859,-1.1348995430694186,-0.9469654342567544,1.634846097767839,-1.1692243907895477,-0.8325393081762396,1.808903089522605,-1.0043047508828424,-0.8208551963325675,1.6130709313609135,-1.1874822244032603,-0.9027995761283952,1.7333737974801169,-1.0889386196458442
0.5,0.1317123327100938,1.808610734885123,-0.2889358769771599,-0.1939537675492537,1.817228552280267,-0.3217686026189693,0.2555993577747987,1.8621787453041927,-0.2667320709800601,-0.3478147236587856,1.6697028293446037,-0.6616664200690064,0.1673543910246932,1.8393475689850136,-0.2304062726355212,-0.4208519655066644,1.508116930124238,-0.808424085768778,-0.7375884800059898,1.512178310132804,-0.9109120351205008,0.9269683618330228,1.338572927071265,-0.719545145692765,-1.015921753897392,1.228082567893133,-1.0003117137924489,0.1190175223802683,1.4387178419306632,-0.7000953872595372,-1.0916944049474469,1.7724762621788666,-1.095506763614177,-1.2959784598853803,1.7646987664587095,-1.2700613856971354,0.1837335863224204,2.05235051726844,-0.7916475310258863,-1.4387481082292248,3.036235506418506,-1.368462665073089,-0.6629820926784745,-0.9091569968805658,0.57945527789588,1.681636356124293,-0.5330171586167242,0.639755630775351,1.6386644039955645,-0.5392812249907186,0.7085382198365211,1.669156347255051,-0.4141212619969011,0.679999764890611,1.628972046284701,-0.5402617785516614,0.6368633402040955,1.7219774238386616,-0.4691509541419521
1.0,-2.695295004177635,1.7099300632149,0.8123212657672462,-3.05554197346299,1.654387085033452,0.5318042579548813,-2.3124301026289396,1.8056745663201472,0.9647461771821756,-2.7894191232344268,2.329307642561862,-0.1301889966907285,-2.443544791513362,1.69361178990382,0.9408212916461396,-0.1529201521362423,2.1373408791012354,0.0792229395101807,-0.9071434112804824,1.670785298488868,-0.319471887657365,0.712914831374587,-1.743895966139944,1.0605835815075717,-1.031716941144452,-1.461944913205473,-0.7095107652832264,0.3272220434372944,-3.1123006790705667,0.6613984610701229,-0.5004108611739807,1.3485526317899157,-0.5048581828204105,-1.0150861655906072,1.2356399602156152,-0.8307251195300994,0.5712479584927167,1.3966546473085062,0.5376546877750432,-1.2806649009876916,0.7422822671671898,-1.015207847005111,0.1341078690734023,-0.1508279528755764,-0.2495861482618787,1.4482629382353496,0.2030300987551404,-0.3711406163661376,1.4329076094966813,0.0023697069321829,0.1992567061561669,-2.5014675845820173,0.4775449671889117,-0.4111934556691332,1.3806777850879377,-0.036229925682819,-0.1137444976305384,1.7568289868016416,0.4412443455446235
2.0,2.3996055667310747,1.7588173785015435,-2.5324793042107996,2.3810151129453407,1.8906988597953152,-2.2173854400419786,2.346772224130659,1.4884648580831406,3.13419975827686,2.551883428396001,1.858875620342221,-1.9468781978637208,2.413448473679065,1.7892691710608255,3.119298297378464,1.1765040301924423,1.5338947551168085,-1.5498339365062397,1.4370954515422023,1.2884713215992256,-0.6067902841933625,1.5891269907292456,1.792190225641889,-2.2361099952644823,2.5490112190465433,0.6269715784300577,-0.8853591497091792,1.4696162408534197,1.685314233219129,-2.085237676846013,0.6049722797841114,0.945101882027459,-0.3257793597128177,0.8090135341336521,1.0433169806519562,-0.6047618922852278,1.3539620763257985,1.026706897320331,-2.131081798718523,-0.2389219213098789,-0.7506153069584681,-0.7503121274946882,0.9333255242305794,-1.5870527373204015,1.3897212590581898,1.2774445657114548,2.993568604899714,1.189411173472649,1.3406739744492058,-0.0331685099883657,1.9270258997147192,1.4551098719586673,-1.6015961682199538,1.3794719451860302,1.3195824487949863,-0.3513187152061177,1.3880282461005058,1.3829931467344834,-1.5627077371701372
7.0,-0.5988748112177047,1.2563362415902883,1.1135880564032554,-0.4787630925110524,1.357276911729215,1.0067979127216782,-1.1182544863602517,1.1050815182954818,0.824962738037888,-0.5136246103661959,1.7502527364585616,0.8257479405782141,-0.9131992142090464,1.1301608367495792,1.019444467768269,-0.5856333869705841,1.4198156434967966,0.889822170666956,-0.4521099240275924,1.4506215772760127,0.7680032376833,-0.6638098454800774,1.4403895777001685,0.9773256962874484,-0.4226770383355608,1.5618626310947397,0.6611931601935754,-0.6099911058811528,1.4194867524832746,0.929974284492507,-0.6819120293389674,1.153960552664458,0.7507757225003723,-0.5106109027132121,1.1903479901752754,0.6045452766554889,-0.6703159377849802,1.230851402357587,0.8899212599255679,-0.5167509044094756,1.2734240111788917,0.4700437609916765,-0.6386838370267477,0.8161893616881074,0.3385014066116705,1.4095968384495656,1.1008673063262104,0.652945659997638,1.4885704169486729,1.1809860886273964,-0.2556574825838464,1.4210709987767778,0.9556056189033638,0.6760226965377454,1.5973615071034943,1.062074924580377,-0.0427859458298195,1.4008480068072418,1.0271403394100185
14.0,0.4606463881254936,2.8285584640235952,2.062174676503203,0.3557952055026536,2.831551956710355,2.2037053767570067,-1.7507593198165905,2.941284110147733,2.3227433698434297,0.0847889666592335,-2.9793103003104204,2.9563602084720637,2.50715285507451,2.88233628813718,2.1854310496165628,-0.4120913486734132,2.975573553919447,2.1890259745066265,0.117091026929483,2.797071611922751,2.1151063974655515,-0.9440858202477216,2.7948438254451924,2.1360011559196717,0.0218454539851908,-2.8462548991056194,3.0414027165225663,-0.6958254584136674,2.7456614413552853,2.178575748230312,-0.2591094016707236,2.8627083394267556,2.1296329208612055,0.2312442836457934,2.7867709492165216,1.9525329373688072,-1.057723737146654,2.7937886868571944,2.166613174797825,0.0251259742498432,-3.0146901954643224,3.016755697119473,-0.7023570268264717,2.181751041863917,-0.9533457162268404,2.8015704900095697,2.089824088857345,-0.353647027177371,2.6317324974176817,1.8431889838639095,-0.8359908886046079,2.883315516399588,2.2266302360577974,0.0832733821431639,2.4700871124918464,1.6178359557359014,-0.8158779826877476,2.942889758915822,2.2343623619528445
30.0,1.2238311427807835,-3.019244659155741,1.521225858400593,1.3380431475227226,2.8777748067723268,-0.1218759310037181,1.1842218091844108,-2.549150432432978,1.3625177728903104,1.2316184222240365,-2.630672213519409,-0.5131516900652432,1.1329657971225815,-2.752506501092588,1.2100408762212291,1.380121542927286,-2.6884853520033025,1.4324746289552268,1.4395244290087406,3.080782224333765,1.267310598380822,1.3138006697326043,-2.33915936155533,1.7457638663542077,1.1122041445239212,-2.3886610162272928,-0.3758279268719573,1.344207596441555,-2.4679612724841644,1.586646557349069,1.3806110389095383,-2.7245702470584487,1.3397801157273543,1.4377967196492625,3.0429453712182326,1.1472157727237633,1.3163232776693246,-2.37140583931912,1.7017078232420493,1.1051193940671924,-2.383385419287462,-0.314198710777945,1.345291817202552,1.5192775630176318,1.2586182345604362,-2.9483302849175077,1.3104970423946891,1.459344314850196,2.857949398150603,1.3004481093481064,1.0961138679448046,-2.4744440102100964,1.6191153542677372,1.5252717402119995,2.4824305395446884,1.353952510526534,1.1629587121244556,-2.6750439380660045,1.4328080638774336
90.0,-3.0672260382356336,1.8553608266721433,-2.7372082732883163,-2.7067710078391154,1.823691397043031,-2.7190586519848243,2.9300016649576937,1.872858337015389,-2.7128829873062905,-2.533156285173254,1.6284834076764227,-2.460032593841108,2.9936233605420544,1.8599828931292883,-2.7197100041944404,3.069996129566268,1.8773555123133443,-2.8022325142897353,-3.0135180158625796,1.859849543101347,-2.838122767426351,2.959073528737171,1.866703815236425,-2.752866616987368,-2.532327389000096,1.402184060730357,-2.4568800241020377,2.997878098772535,1.870879337180985,-2.7727649230259757,3.058891539993852,1.8939308317089825,-2.8062846192100968,-3.0255016587763426,1.8739762353112863,-2.852212109930298,2.956634467572785,1.8750446577231417,-2.7530665455289487,-2.5362640236124463,1.4068933084798827,-2.46395533036924,2.9910889857947143,-2.7736927646407787,2.8585307260409394,1.946073017825631,-2.77792443843215,3.0235774726728257,1.9816160436467816,-2.8369183155034565,2.857769757941735,1.9048096224738589,-2.737827017994937,-2.969323068365243,2.017555368558933,-2.8981537351913405,2.8457776650195528,1.924281241990668,-2.751594465302281
365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
