  , room2 , room2 , room2 , wall1_IM , wall1_IM , wall1_IM , wall1_IM , wall1_IM , wall1_IM , wall2_IM , wall2_IM , wall2_IM , wall2_IM , wall2_IM , wall2_IM , wall3_IM , wall3_IM , wall3_IM , wall3_IM , wall3_IM , wall3_IM , wall4_IM , wall4_IM , wall4_IM , wall4_IM , wall4_IM , wall4_IM , wall5_IM , wall5_IM , wall5_IM , wall5_IM , wall5_IM , wall5_IM , wall6_IM , wall6_IM , wall6_IM , wall6_IM , wall6_IM , wall6_IM , room1 , room1 , room1 , opening1 , opening1 , Heat source , Moisture source , 
2020/04/20 12:20,21.990491898453683,0.7461218335798421,0.012346763437889784,23.584405573341826,0.8639020380585495,0.015832817244469586,-3.05338594722457,-3.5341848064408562e-6,-0.0,23.584405573341826,0.8639020380585495,0.015832817244469586,-3.05338594722457,-3.5341848064408562e-6,-0.0,23.584405573341826,0.8639020380585495,0.015832817244469586,-3.05338594722457,-3.5341848064408562e-6,-0.0,23.584405573341826,0.8639020380585495,0.015832817244469586,-3.05338594722457,-3.5341848064408562e-6,-0.0,23.584405573341826,0.8639020380585495,0.015832817244469586,-6.10677189444914,-7.0683696128817124e-6,-0.0,23.584405573341826,0.8639020380585495,0.015832817244469586,-6.10677189444914,-7.0683696128817124e-6,-0.0,24.45333333333332,0.8869217734946611,0.01716122199347431,15.697530084336677,2.7961924403561983e-5,0.0,0.0,
2020/04/20 12:30,22.042198217041914,0.7463355281743848,0.012390155924769134,23.664084566484917,0.8680717236595885,0.015989717520847026,-3.1042716983686347,-3.580409595552739e-6,-0.0,23.664084566484917,0.8680717236595885,0.015989717520847026,-3.1042716983686347,-3.580409595552739e-6,-0.0,23.664084566484917,0.8680717236595885,0.015989717520847026,-3.1042716983686347,-3.580409595552739e-6,-0.0,23.664084566484917,0.8680717236595885,0.015989717520847026,-3.1042716983686347,-3.580409595552739e-6,-0.0,23.664084566484917,0.8680717236595885,0.015989717520847026,-6.208543396737269,-7.160819191105478e-6,-0.0,23.664084566484917,0.8680717236595885,0.015989717520847026,-6.208543396737269,-7.160819191105478e-6,-0.0,24.586666666666645,0.885267934677436,0.017269340615852252,15.90856948731448,2.831100901289001e-5,0.0,0.0,
2020/04/20 12:40,22.096222345748572,0.7465512008429862,0.012435512438502565,23.741395085195563,0.8720144760904103,0.016141110226640703,-3.1547769927142615,-3.625466622646873e-6,-0.0,23.741395085195563,0.8720144760904103,0.016141110226640703,-3.1547769927142615,-3.625466622646873e-6,-0.0,23.741395085195563,0.8720144760904103,0.016141110226640703,-3.1547769927142615,-3.625466622646873e-6,-0.0,23.741395085195563,0.8720144760904103,0.016141110226640703,-3.1547769927142615,-3.625466622646873e-6,-0.0,23.741395085195563,0.8720144760904103,0.016141110226640703,-6.309553985428523,-7.250933245293746e-6,-0.0,23.741395085195563,0.8720144760904103,0.016141110226640703,-6.309553985428523,-7.250933245293746e-6,-0.0,24.720000000000027,0.8835915372396033,0.017377495822471608,16.113324468472456,2.864869813361258e-5,0.0,0.0,
2020/04/20 12:50,22.152357879213184,0.7467678139822501,0.012482673734554764,23.817452578510768,0.8757561887168865,0.01628848777813145,-3.2070900615615017,-3.669366095992122e-6,-0.0,23.817452578510768,0.8757561887168865,0.01628848777813145,-3.2070900615615017,-3.669366095992122e-6,-0.0,23.817452578510768,0.8757561887168865,0.01628848777813145,-3.2070900615615017,-3.669366095992122e-6,-0.0,23.817452578510768,0.8757561887168865,0.01628848777813145,-3.2070900615615017,-3.669366095992122e-6,-0.0,23.817452578510768,0.8757561887168865,0.01628848777813145,-6.414180123123003,-7.338732191984244e-6,-0.0,23.817452578510768,0.8757561887168865,0.01628848777813145,-6.414180123123003,-7.338732191984244e-6,-0.0,24.853333333333353,0.8818931062958785,0.017485687631904105,16.312314304773054,2.8975904731708916e-5,0.0,0.0,
2020/04/20 13:00,22.21032116433571,0.7469848422328874,0.012531427492658823,23.89288802085258,0.8793171035410288,0.01643279382584895,-3.262064077977485,-3.712135357026921e-6,-0.0,23.89288802085258,0.8793171035410288,0.01643279382584895,-3.262064077977485,-3.712135357026921e-6,-0.0,23.89288802085258,0.8793171035410288,0.01643279382584895,-3.262064077977485,-3.712135357026921e-6,-0.0,23.89288802085258,0.8793171035410288,0.01643279382584895,-3.262064077977485,-3.712135357026921e-6,-0.0,23.89288802085258,0.8793171035410288,0.01643279382584895,-6.52412815595497,-7.424270714053842e-6,-0.0,23.89288802085258,0.8793171035410288,0.01643279382584895,-6.52412815595497,-7.424270714053842e-6,-0.0,24.98666666666668,0.8801731585528687,0.017593916062734048,16.50623132650844,2.929383858717815e-5,0.0,0.0,
2020/04/20 13:10,22.268641527725435,0.7471844764881763,0.012580334403425887,23.9434419039427,0.8826128903335388,0.016547557596883974,-3.2026165795229393,-3.695778234203595e-6,-0.0,23.9434419039427,0.8826128903335388,0.016547557596883974,-3.2026165795229393,-3.695778234203595e-6,-0.0,23.9434419039427,0.8826128903335388,0.016547557596883974,-3.2026165795229393,-3.695778234203595e-6,-0.0,23.9434419039427,0.8826128903335388,0.016547557596883974,-3.2026165795229393,-3.695778234203595e-6,-0.0,23.9434419039427,0.8826128903335388,0.016547557596883974,-6.405233159045879,-7.39155646840719e-6,-0.0,23.9434419039427,0.8826128903335388,0.016547557596883974,-6.405233159045879,-7.39155646840719e-6,-0.0,24.985000000000014,0.8814941529416283,0.017619269200877127,16.429434309752878,2.916701071951581e-5,0.0,0.0,
2020/04/20 13:20,22.327748194018227,0.747384704047529,0.012630041325288187,23.97548560037154,0.885605270022248,0.016638017304032218,-3.114810983298426,-3.6704654754052867e-6,-0.0,23.97548560037154,0.885605270022248,0.016638017304032218,-3.114810983298426,-3.6704654754052867e-6,-0.0,23.97548560037154,0.885605270022248,0.016638017304032218,-3.114810983298426,-3.6704654754052867e-6,-0.0,23.97548560037154,0.885605270022248,0.016638017304032218,-3.114810983298426,-3.6704654754052867e-6,-0.0,23.97548560037154,0.885605270022248,0.016638017304032218,-6.229621966596852,-7.340930950810573e-6,-0.0,23.97548560037154,0.885605270022248,0.016638017304032218,-6.229621966596852,-7.340930950810573e-6,-0.0,24.968333333333362,0.8831567382330617,0.01763541250849501,16.3200002294177,2.8986407394258543e-5,0.0,0.0,
2020/04/20 13:30,22.387764469308593,0.7475830672649653,0.012680610039095935,24.000008861504,0.8883575553229,0.01671638238540315,-3.029165438884292,-3.6451055274960787e-6,-0.0,24.000008861504,0.8883575553229,0.01671638238540315,-3.029165438884292,-3.6451055274960787e-6,-0.0,24.000008861504,0.8883575553229,0.01671638238540315,-3.029165438884292,-3.6451055274960787e-6,-0.0,24.000008861504,0.8883575553229,0.01671638238540315,-3.029165438884292,-3.6451055274960787e-6,-0.0,24.000008861504,0.8883575553229,0.01671638238540315,-6.058330877768584,-7.290211054992157e-6,-0.0,24.000008861504,0.8883575553229,0.01671638238540315,-6.058330877768584,-7.290211054992157e-6,-0.0,24.951666666666654,0.88482186971908,0.017651556631013164,16.207758935579704,2.880101590295087e-5,0.0,0.0,
2020/04/20 13:40,22.44841923616184,0.7477782541126873,0.012731811614476158,24.01996018891606,0.8909083616503146,0.016786321654651694,-2.9482231597349795,-3.6195466037300484e-6,-0.0,24.01996018891606,0.8909083616503146,0.016786321654651694,-2.9482231597349795,-3.6195466037300484e-6,-0.0,24.01996018891606,0.8909083616503146,0.016786321654651694,-2.9482231597349795,-3.6195466037300484e-6,-0.0,24.01996018891606,0.8909083616503146,0.016786321654651694,-2.9482231597349795,-3.6195466037300484e-6,-0.0,24.01996018891606,0.8909083616503146,0.016786321654651694,-5.896446319469959,-7.239093207460097e-6,-0.0,24.01996018891606,0.8909083616503146,0.016786321654651694,-5.896446319469959,-7.239093207460097e-6,-0.0,24.935000000000002,0.8864895512478412,0.01766770156849329,16.093456855347767,2.8612139945156134e-5,0.0,0.0,
2020/04/20 13:50,22.509321196221038,0.7479694708598809,0.012783327529156502,24.036821649624528,0.8932858596631457,0.016849846272912014,-2.873797073829536,-3.5939088097662274e-6,-0.0,24.036821649624528,0.8932858596631457,0.016849846272912014,-2.873797073829536,-3.5939088097662274e-6,-0.0,24.036821649624528,0.8932858596631457,0.016849846272912014,-2.873797073829536,-3.5939088097662274e-6,-0.0,24.036821649624528,0.8932858596631457,0.016849846272912014,-2.873797073829536,-3.5939088097662274e-6,-0.0,24.036821649624528,0.8932858596631457,0.016849846272912014,-5.747594147659072,-7.187817619532455e-6,-0.0,24.036821649624528,0.8932858596631457,0.016849846272912014,-5.747594147659072,-7.187817619532455e-6,-0.0,24.91833333333335,0.8881597866735221,0.017683847320997113,15.978132529997083,2.842158531948642e-5,0.0,0.0,
