  , room1 , room1 , room1 , wall1_IP , wall1_IP , wall1_IP , wall1_IP , wall1_IP , wall1_IP , wall2_IP , wall2_IP , wall2_IP , wall2_IP , wall2_IP , wall2_IP , wall3_IP , wall3_IP , wall3_IP , wall3_IP , wall3_IP , wall3_IP , wall4_IP , wall4_IP , wall4_IP , wall4_IP , wall4_IP , wall4_IP , wall5_IP , wall5_IP , wall5_IP , wall5_IP , wall5_IP , wall5_IP , wall6_IP , wall6_IP , wall6_IP , wall6_IP , wall6_IP , wall6_IP , room2 , room2 , room2 , opening1 , opening1 , Heat source , Moisture source , 
2020/04/03 14:40,20.089999999999975,0.47031217757747096,0.006865009719406553,18.65877543635122,0.5198269446378994,0.006941877750316194,-239.7301144111664,7.832028831088237e-6,-0.0,18.65877543635122,0.5198269446378994,0.006941877750316194,-239.7301144111664,7.832028831088237e-6,-0.0,18.65877543635122,0.5198269446378994,0.006941877750316194,-239.7301144111664,7.832028831088237e-6,-0.0,18.65877543635122,0.5198269446378994,0.006941877750316194,-239.7301144111664,7.832028831088237e-6,-0.0,18.65877543635122,0.5198269446378994,0.006941877750316194,-479.4602288223328,1.5664057662176474e-5,-0.0,18.65877543635122,0.5198269446378994,0.006941877750316194,-479.4602288223328,1.5664057662176474e-5,-0.0,17.786674953164493,0.5776878403374777,0.007307643118809592,1.443205092170274,3.0145479243268635e-6,0.0,0.0,
2020/04/03 14:50,20.189999999999998,0.4653767687465858,0.006834804048166223,18.693612143711675,0.5188641654171973,0.006944168738675284,-250.64496592829403,1.114358495368158e-5,-0.0,18.693612143711675,0.5188641654171973,0.006944168738675284,-250.64496592829403,1.114358495368158e-5,-0.0,18.693612143711675,0.5188641654171973,0.006944168738675284,-250.64496592829403,1.114358495368158e-5,-0.0,18.693612143711675,0.5188641654171973,0.006944168738675284,-250.64496592829403,1.114358495368158e-5,-0.0,18.693612143711675,0.5188641654171973,0.006944168738675284,-501.28993185658805,2.228716990736316e-5,-0.0,18.693612143711675,0.5188641654171973,0.006944168738675284,-501.28993185658805,2.228716990736316e-5,-0.0,17.817073555182333,0.5776325434169461,0.007321109229212864,1.5855968270400354,3.2876255821871447e-6,0.0,0.0,
2020/04/03 15:00,20.29000000000002,0.4604865520854565,0.006804601278466728,18.730248132666418,0.5175711887180807,0.0069427440461145,-261.25843777837844,1.4076600847223674e-5,-0.0,18.730248132666418,0.5175711887180807,0.0069427440461145,-261.25843777837844,1.4076600847223674e-5,-0.0,18.730248132666418,0.5175711887180807,0.0069427440461145,-261.25843777837844,1.4076600847223674e-5,-0.0,18.730248132666418,0.5175711887180807,0.0069427440461145,-261.25843777837844,1.4076600847223674e-5,-0.0,18.730248132666418,0.5175711887180807,0.0069427440461145,-522.5168755567569,2.8153201694447347e-5,-0.0,18.730248132666418,0.5175711887180807,0.0069427440461145,-522.5168755567569,2.8153201694447347e-5,-0.0,17.84755425424845,0.5775745174876015,0.007334600325809659,1.7280605688640662,3.560675195882962e-6,0.0,0.0,
2020/04/03 15:10,20.225000000000023,0.4658685209911108,0.006857095412955808,18.76334256229478,0.5164131009301591,0.006941550288077705,-244.82762081562797,8.605159752113915e-6,-0.0,18.76334256229478,0.5164131009301591,0.006941550288077705,-244.82762081562797,8.605159752113915e-6,-0.0,18.76334256229478,0.5164131009301591,0.006941550288077705,-244.82762081562797,8.605159752113915e-6,-0.0,18.76334256229478,0.5164131009301591,0.006941550288077705,-244.82762081562797,8.605159752113915e-6,-0.0,18.76334256229478,0.5164131009301591,0.006941550288077705,-489.65524163125593,1.721031950422783e-5,-0.0,18.76334256229478,0.5164131009301591,0.006941550288077705,-489.65524163125593,1.721031950422783e-5,-0.0,17.877396777686556,0.5775968846667994,0.00734884927166372,1.6033622269326315,3.317474315239099e-6,0.0,0.0,
2020/04/03 15:20,20.14166666666665,0.4724429204507369,0.006918789412638996,18.791674100337787,0.5158932293284204,0.006946918105730695,-226.12375486008492,2.865744429134733e-6,-0.0,18.791674100337787,0.5158932293284204,0.006946918105730695,-226.12375486008492,2.865744429134733e-6,-0.0,18.791674100337787,0.5158932293284204,0.006946918105730695,-226.12375486008492,2.865744429134733e-6,-0.0,18.791674100337787,0.5158932293284204,0.006946918105730695,-226.12375486008492,2.865744429134733e-6,-0.0,18.791674100337787,0.5158932293284204,0.006946918105730695,-452.24750972016983,5.731488858269466e-6,-0.0,18.791674100337787,0.5158932293284204,0.006946918105730695,-452.24750972016983,5.731488858269466e-6,-0.0,17.907200181770577,0.577665100871068,0.007363695986160086,1.450616770699071,3.0197420889566427e-6,0.0,0.0,
2020/04/03 15:30,20.058333333333337,0.47907442019456714,0.0069804955184845,18.8164090491274,0.5159451496666844,0.006958497714500421,-208.02231760449433,-2.240869811040053e-6,-0.0,18.8164090491274,0.5159451496666844,0.006958497714500421,-208.02231760449433,-2.240869811040053e-6,-0.0,18.8164090491274,0.5159451496666844,0.006958497714500421,-208.02231760449433,-2.240869811040053e-6,-0.0,18.8164090491274,0.5159451496666844,0.006958497714500421,-208.02231760449433,-2.240869811040053e-6,-0.0,18.8164090491274,0.5159451496666844,0.006958497714500421,-416.04463520898867,-4.481739622080106e-6,-0.0,18.8164090491274,0.5159451496666844,0.006958497714500421,-416.04463520898867,-4.481739622080106e-6,-0.0,17.93714686952319,0.5777376461809882,0.007378692976945022,1.2983218178162588,2.7225913718607203e-6,0.0,0.0,
2020/04/03 15:40,19.975000000000023,0.48576348640474387,0.007042213734056045,18.837777835786994,0.5165055559105296,0.006975556113536632,-190.48471250568227,-6.789420591424748e-6,-0.0,18.837777835786994,0.5165055559105296,0.006975556113536632,-190.48471250568227,-6.789420591424748e-6,-0.0,18.837777835786994,0.5165055559105296,0.006975556113536632,-190.48471250568227,-6.789420591424748e-6,-0.0,18.837777835786994,0.5165055559105296,0.006975556113536632,-190.48471250568227,-6.789420591424748e-6,-0.0,18.837777835786994,0.5165055559105296,0.006975556113536632,-380.96942501136454,-1.3578841182849495e-5,-0.0,18.837777835786994,0.5165055559105296,0.006975556113536632,-380.96942501136454,-1.3578841182849495e-5,-0.0,17.967230336762555,0.577813165286954,0.007393820370476261,1.1464125590318872,2.425901924333529e-6,0.0,0.0,
2020/04/03 15:50,19.89166666666665,0.49251058911640067,0.007103944062918754,18.855945330545012,0.5175169126521532,0.006997398237789292,-173.48332380037462,-1.0850797172550088e-5,-0.0,18.855945330545012,0.5175169126521532,0.006997398237789292,-173.48332380037462,-1.0850797172550088e-5,-0.0,18.855945330545012,0.5175169126521532,0.006997398237789292,-173.48332380037462,-1.0850797172550088e-5,-0.0,18.855945330545012,0.5175169126521532,0.006997398237789292,-173.48332380037462,-1.0850797172550088e-5,-0.0,18.855945330545012,0.5175169126521532,0.006997398237789292,-346.96664760074924,-2.1701594345100175e-5,-0.0,18.855945330545012,0.5175169126521532,0.006997398237789292,-346.96664760074924,-2.1701594345100175e-5,-0.0,17.99741492083689,0.5778914281544041,0.007409058986106586,0.9948264442666641,2.1295622664667702e-6,0.0,0.0,
2020/04/03 16:00,19.808333333333337,0.499316202250616,0.007165686508639141,18.871072192710585,0.518927600328418,0.007023398394301932,-156.99124105431096,-1.4488828097824285e-5,-0.0,18.871072192710585,0.518927600328418,0.007023398394301932,-156.99124105431096,-1.4488828097824285e-5,-0.0,18.871072192710585,0.518927600328418,0.007023398394301932,-156.99124105431096,-1.4488828097824285e-5,-0.0,18.871072192710585,0.518927600328418,0.007023398394301932,-156.99124105431096,-1.4488828097824285e-5,-0.0,18.871072192710585,0.518927600328418,0.007023398394301932,-313.9824821086219,-2.897765619564857e-5,-0.0,18.871072192710585,0.518927600328418,0.007023398394301932,-313.9824821086219,-2.897765619564857e-5,-0.0,18.027632893545842,0.5779722232414668,0.007424374587836135,0.8434518355018099,1.833374641001782e-6,0.0,0.0,
2020/04/03 16:10,19.754999999999995,0.5073917681142917,0.007258593759842875,18.891545421468322,0.5208451600734619,0.007058771911621242,-144.62864190405526,-2.0343190167975335e-5,-0.0,18.891545421468322,0.5208451600734619,0.007058771911621242,-144.62864190405526,-2.0343190167975335e-5,-0.0,18.891545421468322,0.5208451600734619,0.007058771911621242,-144.62864190405526,-2.0343190167975335e-5,-0.0,18.891545421468322,0.5208451600734619,0.007058771911621242,-144.62864190405526,-2.0343190167975335e-5,-0.0,18.891545421468322,0.5208451600734619,0.007058771911621242,-289.2572838081105,-4.068638033595067e-5,-0.0,18.891545421468322,0.5208451600734619,0.007058771911621242,-289.2572838081105,-4.068638033595067e-5,-0.0,18.058108165189253,0.5780735267291836,0.007440107640830469,0.5918255551755465,1.3559789887826964e-6,0.0,0.0,
