0,10,10,10,10,10,10,10,10,0
10,101,101,101,102,102,101,101,101,10
10,101,40,40,102,102,40,40,101,10
10,101,40,40,102,102,40,40,101,10
10,102,102,102,102,102,102,102,102,10
10,102,102,102,102,102,102,102,102,10
10,101,40,40,102,102,40,40,101,10
10,101,40,40,102,102,40,40,101,10
10,101,40,40,102,102,40,40,101,10
10,101,40,40,102,102,40,40,101,10
10,101,40,40,102,102,40,40,101,10
10,101,40,40,102,102,40,40,101,10
10,102,102,102,102,102,102,102,102,10
10,102,102,102,102,102,102,102,102,10
10,101,40,40,102,102,40,40,101,10
10,101,40,40,102,102,40,40,101,10
10,101,101,101,102,102,101,101,101,10
0,10,10,10,10,10,10,10,10,0
