case_id,wall_id,wall_name,opening_id,opening_name,climate_id,climate_name,status,duration_sec,start_time,end_time,error_message
w01-base_o01-base_kyoto,w01-base,RC単体,o01-base,基準換気,kyoto,京都,FAILED,26376.752,2025-12-24 18:01:13,2025-12-25 01:20:50,"BoundsError: attempt to access 0-element Vector{Float64} at index [1]"
w01-base_o02-low_kyoto,w01-base,RC単体,o02-low,低換気,kyoto,京都,FAILED,22478.338,2025-12-25 01:20:51,2025-12-25 07:35:29,"BoundsError: attempt to access 0-element Vector{Float64} at index [1]"
w01-base_o03-high_kyoto,w01-base,RC単体,o03-high,高換気,kyoto,京都,FAILED,22212.236,2025-12-25 07:35:29,2025-12-25 13:45:41,"BoundsError: attempt to access 0-element Vector{Float64} at index [1]"
w01-base_o04-none_kyoto,w01-base,RC単体,o04-none,無換気,kyoto,京都,FAILED,32422.825,2025-12-25 13:45:41,2025-12-25 22:46:04,"BoundsError: attempt to access 0-element Vector{Float64} at index [1]"
w01-base_o05-storage_kyoto,w01-base,RC単体,o05-storage,蔵換気,kyoto,京都,FAILED,30375.203,2025-12-25 22:46:04,2025-12-26 07:12:20,"BoundsError: attempt to access 0-element Vector{Float64} at index [1]"
