period_days,w01-base_o01-base_kyoto,w01-base_o01-base_okinawa,w01-base_o02-low_kyoto,w01-base_o02-low_okinawa,w01-base_o03-high_kyoto,w01-base_o03-high_okinawa,w01-base_o04-none_kyoto,w01-base_o04-none_okinawa,w01-base_o05-storage_kyoto,w01-base_o05-storage_okinawa,w02-inner_o01-base_kyoto,w02-inner_o01-base_okinawa,w02-inner_o02-low_kyoto,w02-inner_o02-low_okinawa,w02-inner_o03-high_kyoto,w02-inner_o03-high_okinawa,w02-inner_o04-none_kyoto,w02-inner_o04-none_okinawa,w02-inner_o05-storage_kyoto,w02-inner_o05-storage_okinawa,w03-outer_o01-base_kyoto,w03-outer_o02-low_kyoto,w03-outer_o03-high_kyoto,w03-outer_o04-none_kyoto,w03-outer_o05-storage_kyoto,w04-hygro_o01-base_kyoto,w04-hygro_o02-low_kyoto,w04-hygro_o03-high_kyoto,w04-hygro_o04-none_kyoto,w04-hygro_o05-storage_kyoto
0.1,-0.6276296400625907,1.289064979359425,-0.8482543277769358,1.2918007362501882,-0.6241594610673443,1.2985320901940067,-0.870173154857195,1.291181977637532,-0.8708303816213868,1.3027631039546357,-1.1102392955711284,1.239200047907638,-1.163546654522856,1.313434759586368,-0.9412464966869234,1.3759732374305689,-1.2021031679781795,1.2234304395800002,-1.0455785820644632,1.2607425812624735,,,,,,-1.2918702490763776,-1.3239539962029525,-1.255120180451886,-1.3042952727591968,-1.303887292277609
0.2,-1.0608420823309073,1.5906198879071958,-1.2771286988284014,1.5840251875808744,-1.0687921506461302,1.6002700324332757,-1.2559763360240292,1.5516856833918664,-1.2511776730215565,1.5796660018830324,-1.2275986986229577,1.4138296078686667,-1.2698920663490951,1.4118346030195985,-1.0893481346803853,1.4583354274288367,-1.3285137536881348,1.3566390711772192,-1.1815310085293185,1.4364631149417575,,,,,,-1.4394078388738496,-1.4683202387471836,-1.3477133576151794,-1.4558128752840214,-1.4367286661040457
0.5,-1.1924465397931816,1.9230197961393136,-1.3755259731449236,1.9331464513206096,-1.1658683718688867,1.9432635498569737,-1.2545866371279786,1.7343310253203954,-1.2043497028375003,1.9343627992828027,-0.9538148995621696,1.2214117809297529,-1.0924440554200514,1.6214558567493655,-0.2299810930583901,1.1611447823998862,-1.1549264507152877,1.840269699888461,-0.6979613734139815,1.1361046867986977,,,,,,-1.4886267040785006,-1.553042744478488,-1.2561662430882683,-1.5624054935623022,-1.4256253395912457
1.0,2.297365394300068,1.8678903190876543,1.1875069404157808,1.8279180581417047,2.475151922924834,1.8627255396919349,1.882133483722644,2.362269068790569,2.305230265530749,1.7818463938294435,-1.6871077267575554,1.6598287818291126,-1.6840160153239685,1.3681428761985994,-1.520282231147005,1.2892549222090277,-1.3042950688395962,1.157034527801073,-1.6021289919536854,1.4937295677783509,,,,,,-1.0514139616187803,-1.3160004175170956,-1.3637754882415642,-0.9968300950127532,-1.1401987958017177
2.0,-2.921817813378765,2.0969483592945677,-2.082797693297788,2.105682495215383,-2.959600554679144,1.9522056443409637,-2.065186602912283,2.023125618726282,-2.0771709003147683,2.020299146206501,2.635727414736623,1.14886379122259,2.6189717558808665,1.2522875151604165,2.950357998608154,1.1958323005184543,2.845285010765553,1.043714224336204,2.7334183020879217,1.1717888261418004,,,,,,-1.2087910716977146,-1.5519695398737623,-1.4134046582710105,-1.0392218144953145,-1.4335423490094044
7.0,-1.1395118822332173,1.5992997857292333,-1.2918272023206914,1.6021465978673957,-1.1237871322329998,1.5690434302567582,-1.3483399491442476,1.7323490375432105,-1.384543655059481,1.555534326173268,-0.5184840351732705,1.4356077651796382,-0.5332877745210062,1.468250732710824,-0.459488798144979,1.512242278589367,-0.5174422199964811,1.7866222637404596,-0.4941709873534355,1.4356301464851928,,,,,,-1.157044078903159,-0.9433414488882392,-1.0044993220346488,-1.1892858437793503,-1.0554993876255732
14.0,-0.733578416179097,-2.8628004826247992,-0.9276638075723072,-2.8739096792605725,-0.7229597905329103,-2.840803429706986,-0.9411685017428394,-2.826983455989139,-0.9284602499369408,-2.863404137287943,-1.0486489564021435,2.4188403204374525,-1.0630086212115115,1.6703231224474178,-1.07107268296978,1.703729063482254,-1.0207642826161432,2.04295116235008,-1.044437243864853,2.4305565981142747,,,,,,-0.6395633197547179,-0.7870688258817045,-1.2310924875790752,-0.6477336670680787,-0.7388371699548947
30.0,-1.3116373538266557,-2.6329375201033978,-1.652325158489187,-2.660588802849466,-1.3111416230938897,-2.571486736305463,-1.657209924960127,-2.7046603716230777,-1.6665865863664444,-2.598182600586268,0.959007164027582,2.0152001713509353,0.9476400773159528,2.1124316850235476,1.0231072628390867,2.106811536641409,0.9403884245769004,2.024658102995954,0.9811165260876928,2.0214867319006413,,,,,,-1.24342621391827,-1.354749262808994,-1.5939210881532724,-1.2363926923443098,-1.5122653302856237
90.0,-2.3217030994496906,1.5307662196989518,-2.2839738803554734,1.5515713224262593,-2.321414953995963,1.5159766000338577,-2.2829475726305337,1.5333934234605562,-2.2833363768808197,1.5405530795686415,-1.4274972013763565,2.0503073284383797,-1.423824999742185,1.95903783272132,-1.4293605170443775,1.958520963947228,-1.414148475206661,2.0032402301930263,-1.4284138306654628,2.0509982760062826,,,,,,-2.310214271351216,-2.359653822782602,-2.4315236650654444,-2.309182445482151,-2.2714329894070753
365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
