セル番号,セル幅,中点までの距離,材料名称,温度,相対湿度,含水率,化学ポテンシャル
-,-,-,-,℃,%,kg/kg,J/kg
i,dx,dx2,material_name,temp,rh,phi,miu
1,0.02,0,glass_wool_16K,20,50,,
2,0.02,0.02,glass_wool_16K,20,50,,
3,0.02,0.01,glass_wool_16K,20,50,,
4,0.02,0.01,glass_wool_16K,20,50,,
5,0.02,0.01,glass_wool_16K,20,50,,
6,0.005,0.0025,concrete_goran,20,50,,
7,0.01,0.005,concrete_goran,20,50,,
8,0.01,0.005,concrete_goran,20,50,,
9,0.01,0.005,concrete_goran,20,50,,
10,0.01,0.005,concrete_goran,20,50,,
11,0.01,0.005,concrete_goran,20,50,,
12,0.01,0.005,concrete_goran,20,50,,
13,0.01,0.005,concrete_goran,20,50,,
14,0.01,0.005,concrete_goran,20,50,,
15,0.01,0.005,concrete_goran,20,50,,
16,0.01,0.005,concrete_goran,20,50,,
17,0.01,0.005,concrete_goran,20,50,,
18,0.01,0.005,concrete_goran,20,50,,
19,0.01,0.005,concrete_goran,20,50,,
20,0.01,0.005,concrete_goran,20,50,,
21,0.005,0.005,concrete_goran,20,50,,
