セル番号,セル幅,中点までの距離,材料名称,温度,相対湿度,含水率,化学ポテンシャル
-,-,-,-,℃,%,kg/kg,J/kg
i,dx,dx2,material_name,temp,rh,phi,miu
1,0.005,0,mud_wall,20,50,,
2,0.01,0.005,mud_wall,20,50,,
3,0.01,0.005,mud_wall,20,50,,
4,0.01,0.005,mud_wall,20,50,,
5,0.01,0.005,mud_wall,20,50,,
6,0.01,0.005,mud_wall,20,50,,
7,0.01,0.005,mud_wall,20,50,,
8,0.005,0.005,mud_wall,20,50,,
