period_days,w01-base_o01-base_kyoto,w01-base_o01-base_okinawa,w01-base_o01-base_sapporo,w01-base_o02-low_kyoto,w01-base_o02-low_okinawa,w01-base_o02-low_sapporo,w01-base_o03-high_kyoto,w01-base_o03-high_okinawa,w01-base_o03-high_sapporo,w01-base_o04-none_kyoto,w01-base_o04-none_okinawa,w01-base_o04-none_sapporo
0.1,-1.3655552033588148,-1.4838828285694188,-1.258741470930083,-1.226380322546784,-1.549186559000013,-1.2325905759240885,-1.3655552033588148,-1.5703386263811778,-1.2650991988891995,-1.33351441017112,1.9127024070147591,-1.4214079638070272
0.2,-1.1168791828430429,-1.7753118442669606,-1.543522962510519,-1.3081879105686778,-1.853744516680876,-1.4973203973896845,-1.1168791828430429,-1.8635025747422296,-1.5313972976508283,-1.1830148068088095,1.4622182149573395,-1.6219695882486804
0.5,0.4321655067919209,-0.1666080267922998,1.2820011411286436,0.4192293509243738,-0.3504373069178947,1.32258353430205,0.4321655067919209,-0.4051826933493533,1.2947560639816191,0.4359473884011147,0.1583698413758154,1.3024317526277551
1.0,-2.1448529122895006,-2.3012753547140843,-2.1513855608557124,-2.290167268383893,-2.248168371016022,-2.1307059861182376,-2.1448529122895006,-2.2305112836965493,-2.144329616363615,-2.174786201618006,-1.5427003394342904,-2.218736822858296
2.0,-2.332431436207578,1.0599519311769554,-1.042354736767366,-2.3773362596056824,1.0950868893994783,-1.056874658466544,-2.332431436207578,1.1004286403646306,-1.046659056697519,-2.3432417936149945,0.8711672633790168,-1.0384507560672684
7.0,-0.963411109867642,-1.865808484635177,1.347433525462622,-0.9675382239940932,-1.9151947135996672,1.3524527364102594,-0.963411109867642,-1.9249930656123495,1.3491219372449388,-0.964571139193112,-1.253301178443016,1.3301647223990911
14.0,-0.6177600795780671,-2.9154253462929227,-2.1584952266389807,-0.5859978576204227,-2.9185413029122085,-2.1597989419133685,-0.6177600795780671,-2.919169884753367,-2.1589336120865856,-0.6125089451796869,-2.8788709659427516,-2.15375636192719
30.0,-1.728827898568138,-2.249654451466339,-1.5003640350403795,-1.7291312896338151,-2.251016657031223,-1.5006065245132092,-1.728827898568138,-2.2512936344536585,-1.5004481144149058,-1.729061709289255,-2.228906470738876,-1.499852012268453
90.0,-2.475555568689554,-2.9212968870778826,-2.4697208704788367,-2.476283376498645,-2.9218866965131194,-2.469442488883542,-2.475555568689554,-2.9220057612478914,-2.4696286147291855,-2.4757116700016852,-2.913680040207608,-2.4712040165637
365.0,,,,,,,,,,,,
