period_days,w01-base_o01-base_kyoto,w01-base_o01-base_okinawa,w01-base_o01-base_sapporo,w01-base_o02-low_kyoto,w01-base_o02-low_okinawa,w01-base_o02-low_sapporo,w01-base_o03-high_kyoto,w01-base_o03-high_okinawa,w01-base_o03-high_sapporo,w01-base_o04-none_kyoto,w01-base_o04-none_okinawa,w01-base_o04-none_sapporo
0.1,2.0394876216165698e-07,3.5467435174908777e-07,2.6600442995743845e-07,2.0350593502124433e-07,3.7627555345425476e-07,2.753034084207017e-07,2.1540416974727837e-07,3.117360225319206e-07,2.641422092635663e-07,2.2258281456190418e-07,2.8568978190926e-07,2.9165308141216385e-07
0.2,7.055466840373019e-07,9.456408860654848e-07,7.3830314513919e-07,6.715587003905775e-07,9.623893831403729e-07,7.341386017611449e-07,8.247244332339017e-07,9.174966118228742e-07,7.807289455140894e-07,6.54486142435725e-07,6.895697346368366e-07,7.154828232363667e-07
0.5,6.84179138598272e-06,3.832466329661194e-06,6.2449746038366185e-06,6.693771450938252e-06,3.6594320494665167e-06,6.020991112118157e-06,6.59896305305535e-06,4.104845233406322e-06,6.41133105625475e-06,6.380888298806774e-06,3.034141674350198e-06,5.393051095023037e-06
1.0,1.872986773685476e-05,1.0158338501578484e-05,1.3899438225515998e-05,1.8776095613271425e-05,9.631412287495578e-06,1.3257885794000156e-05,1.7542836225790255e-05,1.0849814665097952e-05,1.4267944853202056e-05,1.7495896435349343e-05,7.5848388693582925e-06,1.212940596625666e-05
2.0,3.699552451526359e-05,2.934109169227771e-05,3.637225489464445e-05,3.515664061846718e-05,2.7078169370031672e-05,3.470186800271786e-05,4.229747128667496e-05,3.572596473514718e-05,3.912321439255048e-05,3.207109472509181e-05,2.1725040797406133e-05,3.07963155293171e-05
7.0,6.98694720424567e-05,6.99808401460414e-05,8.848928277267534e-05,6.927606792897158e-05,6.067903810569748e-05,8.279211101263211e-05,9.439419849135868e-05,9.944859882166134e-05,0.0001009117374569,6.554837103625142e-05,4.967671638818853e-05,7.20161213163835e-05
14.0,0.000115159620279,0.0001380473382701,7.597001494429173e-05,0.0001173082805777,0.0001082318877261,7.692907535973052e-05,0.0001104798040456,0.0001955148943396,8.953897857377505e-05,0.0001099842521512,7.8801644329416e-05,7.237487155845261e-05
30.0,0.000115652349109,0.0001731771448159,0.0001036993969635,0.0001051580345757,0.0001277284487847,8.801939825155279e-05,0.000139587467096,0.0002246033705309,0.0001248327899701,9.549733797593071e-05,0.0001003763039036,7.571414059461402e-05
90.0,0.0011507735282969,0.0008942817786332,0.0009484329371841,0.0011078735123058,0.0008424331992086,0.0008683604205323,0.0011724291371573,0.0009069646116893,0.0009889217989197,0.000976839465519,0.0005826206654442,0.0007150475778339
365.0,,,,,,,,,,,,
