period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto,w01-base_o04-none_kyoto,w01-base_o05-storage_kyoto
0.1,1.555847943312702e-07,1.8455678586492256e-07,1.684306375880085e-07,2.03506131029304e-07,1.8959653150379012e-07
0.2,6.330398396083299e-07,6.199985061927547e-07,7.543271500973658e-07,6.103682206207764e-07,6.967357105504513e-07
0.5,6.481660968419809e-06,6.219134440437537e-06,6.2420336493619026e-06,5.981234801980508e-06,6.386852933698846e-06
1.0,1.829565043112582e-05,1.7884342920072777e-05,1.7181195059393036e-05,1.6664289266574576e-05,1.7417984245164757e-05
2.0,3.538526015241208e-05,3.3272374923726304e-05,4.013178305253395e-05,3.0095774465598893e-05,3.6711705308795466e-05
7.0,7.297701360033795e-05,6.720710810591651e-05,9.2107012233535e-05,6.295030189057215e-05,7.562306425232467e-05
14.0,0.0001042504604362,0.0001060081851254,0.0001037900042475,0.0001001307824439,0.000101693226741
30.0,0.0001137059823531,0.0001004278000372,0.0001327643190998,8.41415345274553e-05,0.0001229237967928
90.0,0.0011975851624026,0.0011622888226923,0.0012220389447732,0.0010207679278139,0.0012284539958405
365.0,,,,,
