period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto,w01-base_o04-none_kyoto,w01-base_o05-storage_kyoto
0.1,-0.3031231654279006,-0.5783117495618922,-0.2762177246136597,-0.6844553608170462,-0.6054523041574914
0.2,-0.6602857296346527,-1.017329264324709,-0.6980371245293399,-1.0844164674356294,-1.0053290346556698
0.5,-1.0867975506981018,-1.3460175588221863,-1.0871904602180966,-1.248360198007458,-1.1991461195488204
1.0,2.1630842358423905,2.3523501758176923,1.9514404205223144,2.6024639860199095,2.476328626494986
2.0,2.164658627372658,-2.0528386624566415,0.980952916718165,-1.9226381171166624,-1.419791450558611
7.0,-1.0416273625627612,-1.2799677056569236,-1.2909144632668053,-1.1457870319530852,-1.7891887901318904
14.0,-0.8782140707055401,-0.6041395344537256,-0.8749437043757814,-0.6329798419201078,-0.6448412665591117
30.0,-0.1518130324149852,-0.1949788813702484,0.7940758341013715,-1.1660786375856556,-0.1499088733666164
90.0,-2.4608610329197687,-2.277122374996845,-2.7216323657936985,-2.1144064549410637,-2.593260766793038
365.0,,,,,
