period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto,w01-base_o04-none_kyoto,w01-base_o05-storage_kyoto
0.1,2.06213134095113,2.124582962446324,2.058425904847057,-2.9059526000572946,2.128367619663549
0.2,1.84313797431188,1.8600262926051705,1.9299814781888145,-2.545413112278736,1.9162997748574444
0.5,1.6863722578622586,1.6479573623371406,2.117970487388223,-1.5174291265771178,1.8577183554883123
1.0,1.5094066755854794,1.6095518528932748,1.1592754573403787,2.701075581789473,1.251378640511727
2.0,1.5362994063217608,1.6495205329233544,1.4425942343918383,-2.2420259143925767,1.5729415920661045
7.0,2.21160625874444,1.5929377970385905,-2.726054319445477,-1.392631664757556,1.412896915148253
14.0,3.0364574960256987,1.8131703488220303,-1.5384913684787715,-0.98735342074488,-1.5636667322469031
30.0,1.4182767547268191,1.5521568826168,1.520372784405406,-1.7256070310135885,1.3628594304157935
90.0,1.7489657043001805,1.7165516418574267,1.8198481104892077,-2.3097069376100317,1.8238038285997429
365.0,,,,,
