period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto,w01-base_o04-none_kyoto,w01-base_o05-storage_kyoto
0.1,1.5564149552022664e-06,1.5477651005860742e-06,1.5564162845032443e-06,1.5542992038800616e-06,1.5469809604650365e-06
0.2,4.754546895897682e-06,4.6453243165568385e-06,4.751453783189484e-06,4.667202675139819e-06,4.691576783542076e-06
0.5,1.3191590863837752e-05,1.3166185774653525e-05,1.3197276149183831e-05,1.312973782390396e-05,1.3095707757802922e-05
1.0,2.5941880104471348e-05,2.543247433555918e-05,2.594990714444584e-05,2.5327607763614375e-05,2.528504521966467e-05
2.0,6.67468266830062e-05,6.684175144445976e-05,6.674733076865002e-05,6.688006438653572e-05,6.689903736633069e-05
7.0,0.0001327991393335,0.000136338757215,0.0001328272344053,0.0001363701078378,0.0001363801802588
14.0,0.0001231921397789,0.0001150663848452,0.0001231949219235,0.0001149982710719,0.0001149480266165
30.0,0.0001474747440865,0.0001474561032348,0.0001474738845711,0.0001474560269265,0.0001474565612373
90.0,0.0012325468427094,0.0012490211168715,0.0012325265249408,0.0012493064647511,0.0012494746923966
365.0,,,,,
