period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto,w01-base_o04-none_kyoto,w01-base_o05-storage_kyoto
0.1,-0.6276296400625907,-0.8482543277769358,-0.6241594610673443,-0.870173154857195,-0.8708303816213868
0.2,-1.0608420823309073,-1.2771286988284014,-1.0687921506461302,-1.2559763360240292,-1.2511776730215565
0.5,-1.1924465397931816,-1.3755259731449236,-1.1658683718688867,-1.2545866371279786,-1.2043497028375003
1.0,2.297365394300068,1.1875069404157808,2.475151922924834,1.882133483722644,2.305230265530749
2.0,-2.921817813378765,-2.082797693297788,-2.959600554679144,-2.065186602912283,-2.0771709003147683
7.0,-1.1395118822332173,-1.2918272023206914,-1.1237871322329998,-1.3483399491442476,-1.384543655059481
14.0,-0.733578416179097,-0.9276638075723072,-0.7229597905329103,-0.9411685017428394,-0.9284602499369408
30.0,-1.3116373538266557,-1.652325158489187,-1.3111416230938897,-1.657209924960127,-1.6665865863664444
90.0,-2.3217030994496906,-2.2839738803554734,-2.321414953995963,-2.2829475726305337,-2.2833363768808197
365.0,,,,,
