period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto,w01-base_o04-none_kyoto,w01-base_o05-storage_kyoto
0.1,0.0001383081962805,0.0001366196894232,0.0001383463614757,0.0001367196229549,0.0001373899401958
0.2,0.0004367692309937,0.0004313081600195,0.0004366412121372,0.0004339040741588,0.0004361942975709
0.5,0.0016182600051523,0.0015687237617781,0.0016159418313524,0.0015880818489298,0.0015956217721251
1.0,0.0033594336847976,0.0033137272191494,0.003362258294216,0.0033132299611131,0.0032961779616116
2.0,0.0043191670502591,0.0042277637888787,0.00431933921644,0.0042236089792647,0.0042194898425565
7.0,0.0069268745098357,0.0068900844534056,0.0069283818926594,0.0068849327928477,0.0068824960102617
14.0,0.0047191163706494,0.0048272482850305,0.0047198615817989,0.0048421571297853,0.0048409027430657
30.0,0.0073312018916285,0.0075183694200772,0.0073306949873812,0.0075207277124014,0.0075213639260447
90.0,0.0140734683742906,0.0142133615794583,0.0140731697496183,0.0142109412622397,0.0142129374688373
365.0,,,,,
