period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto,w01-base_o04-none_kyoto,w01-base_o05-storage_kyoto
0.1,6.722087404506438e-06,5.5202100121136485e-06,9.066302726428302e-06,3.0020058687147932e-06,6.436487029442946e-06
0.2,1.391260159766052e-05,1.03492304961892e-05,2.426911806663537e-05,3.804562819826694e-06,1.5430774200167855e-05
0.5,2.8910698942134536e-05,2.0415126401490617e-05,6.587795548290313e-05,1.3590680282376789e-05,3.554500200778379e-05
1.0,8.269059942205942e-05,6.073736777376428e-05,0.0002184560062992,3.60199018779817e-05,0.000116227498404
2.0,0.0003543166620653,0.0001582209184584,0.0010510360243867,7.118022811013617e-05,0.0005861563548544
7.0,0.0012920959315387,0.0005015272745103,0.0037126708936219,0.0001486751133461,0.0022812246596785
14.0,0.0010169485058065,0.0005162623618014,0.0025986765087262,0.0001748866511232,0.0018259707921843
30.0,0.0044385620601719,0.0022769802772769,0.0069328755362844,0.0002346580915227,0.0059845304009715
90.0,0.0128604901862025,0.0097480239549908,0.0145189257141027,0.0024328054130683,0.0139891951952121
365.0,,,,,
