period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto,w01-base_o04-none_kyoto,w01-base_o05-storage_kyoto
0.1,-0.9084978192214695,-1.3384568852175471,-0.9410814603095972,-1.2172488623243445,-1.1593585907734032
0.2,-1.0556726239135978,-1.304894012876317,-1.0915410837528328,-1.2085385458599178,-1.2007107254266058
0.5,0.7144616249737695,0.3885136255729923,0.716409019973667,0.6018858862406221,0.6694805451769943
1.0,-2.565565284152555,-2.8492746644113827,-2.5754358126623016,-2.6860543198032167,-2.598716816508708
2.0,-2.415000381104945,-1.9448076028537964,-2.4188932658797384,-1.9869703081437873,-2.0617118251442608
7.0,-0.9271182877588968,-1.256569384380274,-0.9293868430130204,-1.294759599022555,-1.307541236733044
14.0,-0.6837994958218353,-0.9292440228008572,-0.6850660649773367,-0.939559819239487,-0.943007237130464
30.0,-1.2885275571903112,-1.680989366841479,-1.2890898955953378,-1.6857315005601123,-1.6865219387211174
90.0,-2.309005814135031,-2.2750634634916618,-2.309175459856179,-2.274487412556738,-2.2739733152840853
365.0,,,,,
